dataset,method,q,model,AUC_mean,PR_AUC_mean,dAUC_mean,dPR_mean,t_red_med,t_mod_med
DS-B,Ensembleunar,10,HGBT,0.959129,0.906669,0.000708,0.000754,1466.362532,0.340065
DS-B,Ensembleunar,15,HGBT,0.955862,0.901995,-0.002558,-0.003919,1469.874476,0.344023
DS-B,PLS,10,HGBT,0.954915,0.902382,-0.003506,-0.003532,0.012408,0.319568
DS-B,HSIC_Lasso,5,HGBT,0.954001,0.896141,-0.004419,-0.009773,0.605554,0.337242
DS-B,PLS,15,HGBT,0.952853,0.899741,-0.005567,-0.006173,0.016798,0.335751
DS-B,PLS,5,HGBT,0.946973,0.885809,-0.011447,-0.020106,0.007177,0.297453
DS-B,HSIC_Lasso,10,HGBT,0.944929,0.878895,-0.013491,-0.02702,0.699972,0.317398
DS-B,Ensembleunar,5,HGBT,0.943656,0.87211,-0.014764,-0.033804,1462.708774,0.338188
DS-B,HSIC_Lasso,15,HGBT,0.94216,0.87621,-0.01626,-0.029704,0.936248,0.365223
DS-B,PCA,15,HGBT,0.889813,0.716948,-0.068608,-0.188967,0.003392,0.331456
DS-B,PCA,10,HGBT,0.876723,0.688229,-0.081698,-0.217685,0.00274,0.337652
DS-B,UMAP_sup,15,HGBT,0.78258,0.573703,-0.17584,-0.332212,23.408102,0.360922
DS-B,UMAP_sup,10,HGBT,0.775408,0.567177,-0.183012,-0.338737,20.492583,0.34136
DS-B,UMAP_sup,5,HGBT,0.745107,0.527121,-0.213313,-0.378794,16.514097,0.295961
DS-B,PCA,5,HGBT,0.677136,0.429959,-0.281284,-0.475956,0.002488,0.285192
DS-B,Ensembleunar,10,MLP,0.964891,0.921808,0.032688,0.057449,1466.362532,1.074756
DS-B,Ensembleunar,5,MLP,0.960336,0.914073,0.028133,0.049714,1462.708774,1.02303
DS-B,PLS,10,MLP,0.953977,0.900823,0.021773,0.036464,0.012408,0.645237
DS-B,HSIC_Lasso,5,MLP,0.953842,0.906015,0.021639,0.041656,0.605554,0.630133
DS-B,Ensembleunar,15,MLP,0.944871,0.888826,0.012668,0.024467,1469.874476,0.752957
DS-B,PLS,15,MLP,0.944392,0.884113,0.012189,0.019754,0.016798,0.592478
DS-B,PLS,5,MLP,0.939943,0.872374,0.00774,0.008015,0.007177,0.712632
DS-B,HSIC_Lasso,10,MLP,0.939133,0.876846,0.006929,0.012487,0.699972,0.762155
DS-B,HSIC_Lasso,15,MLP,0.935508,0.870047,0.003305,0.005688,0.936248,1.190793
DS-B,PCA,15,MLP,0.893645,0.735038,-0.038558,-0.129321,0.003392,0.74759
DS-B,PCA,10,MLP,0.868926,0.681057,-0.063277,-0.183303,0.00274,0.695374
DS-B,PCA,5,MLP,0.687974,0.448327,-0.24423,-0.416032,0.002488,0.397214
DS-B,UMAP_sup,5,MLP,0.549548,0.289236,-0.382655,-0.575123,16.514097,0.179547
DS-B,UMAP_sup,15,MLP,0.548465,0.290475,-0.383738,-0.573884,23.408102,0.178606
DS-B,UMAP_sup,10,MLP,0.484301,0.249009,-0.447902,-0.61535,20.492583,0.178839
