dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,Ensembleunar,5,MLP,1,0.9813340034516018,0.9506274923265434,0.04386564621450928,0.08183027286019706,0.9374683572370925,0.8687972194663464,2662.538656454999,2.994549531955272,3.9215848949970677,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,HGBT,1,0.9519769104837784,0.8898259227776851,-0.010018514480837126,-0.021865243018216574,0.9619954249646155,0.9116911657959017,2662.538656454999,0.24483906396199018,0.29878152697347105,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,SVM_linear,1,0.8468397887649253,0.7307557013835839,0.0011788661451078708,-0.016072373352616687,0.8456609226198174,0.7468280747362006,2662.538656454999,0.7250471590086818,1.7504343700129539,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,SVM_rbf,1,0.9467145111401003,0.8997672711923851,0.03170373874256749,0.03587543682599981,0.9150107723975328,0.8638918343663853,2662.538656454999,0.48585569800343364,0.9526147070573643,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,KNN,1,0.9417588387244595,0.8244611545928509,0.12365160255581142,0.23908671297889994,0.8181072361686481,0.5853744416139509,2662.538656454999,0.001562585006467998,0.0002625989727675915,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,GaussianNB,1,0.8199919437987574,0.6113806131873234,0.019364447023085596,-0.0004107292735702206,0.8006274967756718,0.6117913424608936,2662.538656454999,0.0006286799907684326,0.001773662050254643,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,QDA,1,0.8951030861163567,0.7516214045995995,-0.025362251893022658,-0.09295090553814322,0.9204653380093794,0.8445723101377427,2662.538656454999,0.0006205149693414569,0.0036302569787949324,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,ShrinkageLDA,1,0.8534362654703085,0.721039543919396,0.00020325278363941823,-0.001689681314011704,0.8532330126866691,0.7227292252334077,2662.538656454999,0.001788160065189004,0.00610433507245034,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,LogRegL2,1,0.8522869633664573,0.7174308019893681,-0.0006393223921743463,-0.02013973729322338,0.8529262857586316,0.7375705392825915,2662.538656454999,0.11903006595093757,0.15207543410360813,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,KDEBayes,1,0.929663450345345,0.8451339940533559,0.2036518981962241,0.38214880519224015,0.7260115521491209,0.4629851888611157,2662.538656454999,0.0015253759920597076,0.004933414980769157,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,MLP,2,0.9876015801980051,0.9600106564518547,0.051859023869267884,0.10691101012768134,0.9357425563287373,0.8530996463241733,2668.0903753660386,1.6531241199700162,3.237505255965516,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,HGBT,2,0.9589577197254979,0.8894692012160609,-0.004061360167628036,-0.026841353112701638,0.963019079893126,0.9163105543287625,2668.0903753660386,0.2690414129756391,0.2467728640185669,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,SVM_linear,2,0.8494229468697223,0.7357326219376916,0.007006677777818715,-0.007934741951637347,0.8424162690919036,0.743667363889329,2668.0903753660386,0.7266866998979822,1.6932225989876315,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,SVM_rbf,2,0.9416997106419461,0.8847446847078791,0.022246941045606095,0.03486915425710091,0.91945276959634,0.8498755304507782,2668.0903753660386,0.49146057304460555,0.9383944930741563,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,KNN,2,0.9584495877663998,0.8718406972223856,0.16084870971437448,0.28622737468698445,0.7976008780520253,0.5856133225354011,2668.0903753660386,0.0015474410029128194,0.0002942170249298215,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,GaussianNB,2,0.8055942557067838,0.615440295991498,0.020543313168193578,0.027467464724471924,0.7850509425385902,0.587972831267026,2668.0903753660386,0.0006353039061650634,0.0010987929999828339,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,QDA,2,0.8877638128744009,0.7413222636197514,-0.03363648793971896,-0.08958109045252138,0.9214003008141198,0.8309033540722728,2668.0903753660386,0.0006411300273612142,0.0024103799369186163,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,ShrinkageLDA,2,0.85512880683225,0.7290182371452847,0.0035550759611084892,0.0023320420797040553,0.8515737308711415,0.7266861950655806,2668.0903753660386,0.0018282539676874876,0.005260040983557701,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,LogRegL2,2,0.8549477270795531,0.7287618128819985,0.004974149941426198,-0.00805482346582731,0.8499735771381269,0.7368166363478258,2668.0903753660386,0.05538074707146734,0.1501644030213356,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,KDEBayes,2,0.9275385348800255,0.8265910613319543,0.19416923196316327,0.36471329775261213,0.7333693029168622,0.4618777635793421,2668.0903753660386,0.001716720056720078,0.004951208946295083,5,"5,6,9,18,25"
DS-B,Ensembleunar,5,MLP,3,0.9570101885077181,0.908395431671379,0.019685955971751712,0.05167090771423577,0.9373242325359664,0.8567245239571433,2666.1710359510034,4.104089112952352,2.1863830650690943,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,HGBT,3,0.9334439521210351,0.8646608499935932,-0.020894386158115896,-0.03013404852887458,0.954338338279151,0.8947948985224677,2666.1710359510034,0.2829336910508573,0.24835348594933748,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,SVM_linear,3,0.837787648882664,0.7152726972881923,-0.0028473867235282446,-0.021607037458679645,0.8406350356061922,0.736879734746872,2666.1710359510034,0.7425926240393892,1.6946659029927105,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,SVM_rbf,3,0.9230965376812184,0.8510300461158736,0.012937963554928045,0.0129922528708879,0.9101585741262903,0.8380377932449857,2666.1710359510034,0.505624664016068,0.9336549900472164,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,KNN,3,0.9137672349121762,0.805197171409572,0.1260666151759613,0.24546362805012534,0.7877006197362149,0.5597335433594467,2666.1710359510034,0.0015424690209329128,0.0002884030109271407,5,"5,6,9,18,26"
DS-B,Ensembleunar,5,GaussianNB,3,0.7905646362329499,0.5700922904033967,0.008665959593346595,0.0056882806936428,0.7818986766396033,0.5644040097097539,2666.1710359510034,0.0006508100777864456,0.0011214049300178885,5,"5,6,9,18,26"
