dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,HSIC_Lasso,10,MLP,1,0.9579045007557309,0.8985638729866758,0.020436143518638317,0.029766653520329478,0.9374683572370925,0.8687972194663464,0.1634006870444864,8.290532084996812,3.9624219170073047,,
DS-B,HSIC_Lasso,10,HGBT,1,0.9595933466125152,0.902177522693715,-0.0024020783521003786,-0.00951364310218672,0.9619954249646155,0.9116911657959017,0.1634006870444864,0.28751688601914793,0.311274990090169,,
DS-B,HSIC_Lasso,10,SVM_linear,1,0.845206375485497,0.728350464042956,-0.00045454713432036,-0.018477610693244606,0.8456609226198174,0.7468280747362006,0.1634006870444864,0.9164133999729529,1.7444636420113966,,
DS-B,HSIC_Lasso,10,SVM_rbf,1,0.9133256220459055,0.8628334698306542,-0.001685150351627307,-0.001058364535731049,0.9150107723975328,0.8638918343663853,0.1634006870444864,0.6752318410435691,0.9515245239017531,,
DS-B,HSIC_Lasso,10,KNN,1,0.8442159801034003,0.6784233774247963,0.026108743934752154,0.09304893581084539,0.8181072361686481,0.5853744416139509,0.1634006870444864,0.0023842540103942156,0.0002598160644993186,,
DS-B,HSIC_Lasso,10,GaussianNB,1,0.8193341438807978,0.6233699630328753,0.01870664710512604,0.011578620571981668,0.8006274967756718,0.6117913424608936,0.1634006870444864,0.0007019670447334647,0.0010868279496207833,,
DS-B,HSIC_Lasso,10,QDA,1,0.90943795062066,0.79937003188544,-0.011027387388719334,-0.04520227825230272,0.9204653380093794,0.8445723101377427,0.1634006870444864,0.0012687259586527944,0.0044717040145769715,,
DS-B,HSIC_Lasso,10,ShrinkageLDA,1,0.853513871078607,0.718370209430713,0.0002808583919379215,-0.00435901580269471,0.8532330126866691,0.7227292252334077,0.1634006870444864,0.0030261739157140255,0.006098192068748176,,
DS-B,HSIC_Lasso,10,LogRegL2,1,0.8513446095514026,0.7179595071420684,-0.0015816762072290436,-0.019611032140523177,0.8529262857586316,0.7375705392825915,0.1634006870444864,0.06713674089405686,0.13372866704594344,,
DS-B,HSIC_Lasso,10,KDEBayes,1,0.8712855553789927,0.7379551800022869,0.14527400322987172,0.27496999114117116,0.7260115521491209,0.4629851888611157,0.1634006870444864,0.002556322026066482,0.00899375497829169,,
