dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PCA,5,MLP,1,0.6559078193193619,0.41482548056056506,-0.2815605379177306,-0.4539717389057813,0.9374683572370925,0.8687972194663464,0.0010693429503589869,8.424352944944985,2.4177453740267083,,
DS-B,PCA,5,HGBT,1,0.6965916355936276,0.45286125641056707,-0.26540378937098796,-0.45882990938533463,0.9619954249646155,0.9116911657959017,0.0010693429503589869,0.3263190829893574,0.3268582570599392,,
DS-B,PCA,5,SVM_linear,1,0.5592297089050587,0.2981059392915855,-0.28643121371475866,-0.4487221354446151,0.8456609226198174,0.7468280747362006,0.0010693429503589869,0.6121837890241295,1.7405407060869038,,
DS-B,PCA,5,SVM_rbf,1,0.6950469144379691,0.4641973939873998,-0.21996385795956375,-0.3996944403789855,0.9150107723975328,0.8638918343663853,0.0010693429503589869,1.1794507809681818,0.9504236300708726,,
DS-B,PCA,5,KNN,1,0.5794995546916286,0.3221865588799449,-0.2386076814770195,-0.263187882734006,0.8181072361686481,0.5853744416139509,0.0010693429503589869,0.0015069440705701709,0.00028635398484766483,,
DS-B,PCA,5,GaussianNB,1,0.6078477747515697,0.35110293346703814,-0.1927797220241021,-0.2606884089938555,0.8006274967756718,0.6117913424608936,0.0010693429503589869,0.0007122029783204198,0.0011059959651902318,,
DS-B,PCA,5,QDA,1,0.6132136482396462,0.3511493656782688,-0.30725168976973316,-0.4934229444594739,0.9204653380093794,0.8445723101377427,0.0010693429503589869,0.0006115160649642348,0.004878247971646488,,
DS-B,PCA,5,ShrinkageLDA,1,0.5766614067309931,0.31652231709754564,-0.276571605955676,-0.406206908135862,0.8532330126866691,0.7227292252334077,0.0010693429503589869,0.0017730699619278312,0.0052608640398830175,,
DS-B,PCA,5,LogRegL2,1,0.5759481742356772,0.3159667092911621,-0.2769781115229544,-0.4216038299914294,0.8529262857586316,0.7375705392825915,0.0010693429503589869,0.025846411008387804,0.18369140604045242,,
DS-B,PCA,5,KDEBayes,1,0.6067243411838181,0.36171560714976536,-0.11928721096530281,-0.10126958171135036,0.7260115521491209,0.4629851888611157,0.0010693429503589869,0.0014705900102853775,0.004910688963718712,,
DS-B,PCA,5,MLP,2,0.6259372724954637,0.36142625185481014,-0.30980528383327355,-0.4916733944693632,0.9357425563287373,0.8530996463241733,0.0009950329549610615,10.127578777028248,3.6639765730360523,,
DS-B,PCA,5,HGBT,2,0.681632230717778,0.4193189042487957,-0.28138684917534795,-0.4969916500799668,0.963019079893126,0.9163105543287625,0.0009950329549610615,0.27390953502617776,0.28791879303753376,,
DS-B,PCA,5,SVM_linear,2,0.4615575076035019,0.23953877081420766,-0.3808587614884017,-0.5041285930751214,0.8424162690919036,0.743667363889329,0.0009950329549610615,0.6017910140799358,1.7403487720293924,,
DS-B,PCA,5,SVM_rbf,2,0.6737016766506898,0.43666476344641325,-0.24575109294565023,-0.413210767004365,0.91945276959634,0.8498755304507782,0.0009950329549610615,1.1722075400175527,0.9435470189200714,,
DS-B,PCA,5,KNN,2,0.6013104261286997,0.3309842028816659,-0.19629045192332562,-0.2546291196537352,0.7976008780520253,0.5856133225354011,0.0009950329549610615,0.0015303200343623757,0.00038329302333295345,,
DS-B,PCA,5,GaussianNB,2,0.6009704396542486,0.33816780358915627,-0.18408050288434163,-0.24980502767786977,0.7850509425385902,0.587972831267026,0.0009950329549610615,0.0007097909692674875,0.001332739950157702,,
DS-B,PCA,5,QDA,2,0.600848487984065,0.34595242777748614,-0.32055181283005485,-0.48495092629478664,0.9214003008141198,0.8309033540722728,0.0009950329549610615,0.0006152680143713951,0.004892058088444173,,
DS-B,PCA,5,ShrinkageLDA,2,0.5692075728291679,0.31571143565176424,-0.2823661580419736,-0.4109747594138164,0.8515737308711415,0.7266861950655806,0.0009950329549610615,0.0018123909831047058,0.005312512046657503,,
DS-B,PCA,5,LogRegL2,2,0.5688601953444026,0.31547808512191,-0.28111338179372436,-0.4213385512259158,0.8499735771381269,0.7368166363478258,0.0009950329549610615,0.025169202010147274,0.13340056291781366,,
