dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PCA,5,MLP,5,0.6528267378574906,0.4142843663082599,-0.290369326981224,-0.46863542873917546,0.9431960648387145,0.8829197950474353,0.0010086980182677507,6.39945165195968,3.6506500790128484,,
DS-B,PCA,5,HGBT,5,0.6903420404430743,0.43226377643606356,-0.2651845897432117,-0.46929591467878123,0.955526630186286,0.9015596911148448,0.0010086980182677507,0.3475100699579343,0.3020707389805466,,
DS-B,PCA,5,SVM_linear,5,0.4956968391864186,0.2668948676620737,-0.36375720880838947,-0.4908964783286154,0.8594540479948081,0.7577913459906891,0.0010086980182677507,0.5996899559395388,1.7023895420134068,,
DS-B,PCA,5,SVM_rbf,5,0.681400168144073,0.45068983184216416,-0.2395334001976429,-0.4132594191406189,0.9209335683417159,0.8639492509827831,0.0010086980182677507,1.1829508490627632,0.9434693390503526,,
DS-B,PCA,5,KNN,5,0.6150109146152598,0.3258379742024108,-0.1793997699081108,-0.25277594384994884,0.7944106845233706,0.5786139180523596,0.0010086980182677507,0.0015186290256679058,0.00028063496574759483,,
DS-B,PCA,5,GaussianNB,5,0.5876745969704568,0.3299986660399161,-0.19045266154368068,-0.25391965227877433,0.7781272585141374,0.5839183183186905,0.0010086980182677507,0.0006982879713177681,0.0011281759943813086,,
DS-B,PCA,5,QDA,5,0.5846251419637457,0.33285243515809554,-0.32678210593076595,-0.4881122291181796,0.9114072478945117,0.8209646642762751,0.0010086980182677507,0.0006244350224733353,0.006582334986887872,,
DS-B,PCA,5,ShrinkageLDA,5,0.5345137833891355,0.28375852288731135,-0.3229324916296702,-0.4550846956219961,0.8574462750188057,0.7388432185093075,0.0010086980182677507,0.001772465999238193,0.005171900964342058,,
DS-B,PCA,5,LogRegL2,5,0.5348013982507117,0.28368496873842186,-0.32633593415832085,-0.46140539731757513,0.8611373324090326,0.745090366055997,0.0010086980182677507,0.025714552029967308,0.15447580197360367,,
DS-B,PCA,5,KDEBayes,5,0.6533798433605214,0.4087634285129991,-0.04837091992507281,-0.012317359306001086,0.7017507632855942,0.4210807878190002,0.0010086980182677507,0.0014855189947411418,0.004316141013987362,,
