dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PLS,10,MLP,1,0.9574093030646824,0.9096557013191066,0.019940945827589873,0.0408584818527602,0.9374683572370925,0.8687972194663464,0.004456424969248474,10.184566766023636,3.9679694200167432,,
DS-B,PLS,10,HGBT,1,0.95867686133356,0.9102357002288971,-0.0033185636310555378,-0.001455465567004599,0.9619954249646155,0.9116911657959017,0.004456424969248474,0.2859357240376994,0.2464366500498727,,
DS-B,PLS,10,SVM_linear,1,0.8493250159830599,0.7470396058692654,0.003664093363242471,0.00021153113306482396,0.8456609226198174,0.7468280747362006,0.004456424969248474,0.9740826450288296,1.7194802400190383,,
DS-B,PLS,10,SVM_rbf,1,0.945653901160019,0.8949713464005338,0.030643128762486205,0.031079512034148493,0.9150107723975328,0.8638918343663853,0.004456424969248474,0.5301878339378163,0.9517652629874647,,
DS-B,PLS,10,KNN,1,0.9253397093115644,0.811879900341922,0.10723247314291628,0.22650545872797112,0.8181072361686481,0.5853744416139509,0.004456424969248474,0.0023573340149596334,0.00026739202439785004,,
DS-B,PLS,10,GaussianNB,1,0.8550512012239513,0.7304148874796377,0.054423704448279486,0.11862354501874406,0.8006274967756718,0.6117913424608936,0.004456424969248474,0.0007811179384589195,0.0011086390586569905,,
DS-B,PLS,10,QDA,1,0.9099885808890646,0.8433669454422759,-0.010476757120314706,-0.0012053646954668373,0.9204653380093794,0.8445723101377427,0.004456424969248474,0.0012146219378337264,0.0046008959179744124,,
DS-B,PLS,10,ShrinkageLDA,1,0.8524680431191541,0.722660374062429,-0.0007649695675149282,-6.885117097865656e-05,0.8532330126866691,0.7227292252334077,0.004456424969248474,0.0029737900476902723,0.005223596002906561,,
DS-B,PLS,10,LogRegL2,1,0.8545929585844738,0.7369425320800445,0.001666672825842208,-0.0006280072025470762,0.8529262857586316,0.7375705392825915,0.004456424969248474,0.07376173697412014,0.13168630993459374,,
DS-B,PLS,10,KDEBayes,1,0.9335622082860616,0.8662528605239871,0.20755065613694068,0.40326767166287136,0.7260115521491209,0.4629851888611157,0.004456424969248474,0.0022587940329685807,0.00426788697950542,,
DS-B,PLS,10,MLP,2,0.9725645697138571,0.9351082074566945,0.03682201338511981,0.0820085611325212,0.9357425563287373,0.8530996463241733,0.004019048064947128,9.704176438972354,3.8011025020387024,,
DS-B,PLS,10,HGBT,2,0.9577492895391335,0.9093730297057184,-0.005269790353992443,-0.006937524623044089,0.963019079893126,0.9163105543287625,0.004019048064947128,0.3843665960012004,0.24658104998525232,,
DS-B,PLS,10,SVM_linear,2,0.8417750989471506,0.737424560866932,-0.0006411701447529561,-0.006242803022396992,0.8424162690919036,0.743667363889329,0.004019048064947128,0.9247422359185293,1.7014795219292864,,
DS-B,PLS,10,SVM_rbf,2,0.953573368711636,0.8990041390636989,0.03412059911529597,0.04912860861292068,0.91945276959634,0.8498755304507782,0.004019048064947128,0.5253195810364559,0.9406751790083945,,
DS-B,PLS,10,KNN,2,0.9392514384753824,0.8425647807202978,0.1416505604233571,0.25695145818489673,0.7976008780520253,0.5856133225354011,0.004019048064947128,0.0023597630206495523,0.00028469099197536707,,
DS-B,PLS,10,GaussianNB,2,0.851034187118208,0.7319278910878726,0.0659832445796178,0.14395505982084655,0.7850509425385902,0.587972831267026,0.004019048064947128,0.0009520940948277712,0.0011001239763572812,,
DS-B,PLS,10,QDA,2,0.9208718435766577,0.8458214315893958,-0.0005284572374620877,0.01491807751712304,0.9214003008141198,0.8309033540722728,0.004019048064947128,0.0011023830156773329,0.00476556399371475,,
DS-B,PLS,10,ShrinkageLDA,2,0.8511820073244911,0.7269486134988729,-0.0003917235466504021,0.0002624184332922219,0.8515737308711415,0.7266861950655806,0.004019048064947128,0.0030177489388734102,0.005196193931624293,,
DS-B,PLS,10,LogRegL2,2,0.8482477762297718,0.7304102248681215,-0.0017258009083551684,-0.0064064114797043326,0.8499735771381269,0.7368166363478258,0.004019048064947128,0.04346410103607923,0.18195267394185066,,
DS-B,PLS,10,KDEBayes,2,0.9504321893281202,0.8879299034496942,0.21706288641125804,0.4260521398703521,0.7333693029168622,0.4618777635793421,0.004019048064947128,0.0024918579729273915,0.004953583935275674,,
DS-B,PLS,10,MLP,3,0.9543531202997794,0.8866410031027459,0.01702888776381295,0.02991647914560258,0.9373242325359664,0.8567245239571433,0.004368960973806679,9.523599299951456,3.493606211966835,,
DS-B,PLS,10,HGBT,3,0.951614750978385,0.8915427811757745,-0.0027235873007660505,-0.003252117346693284,0.954338338279151,0.8947948985224677,0.004368960973806679,0.2887458309996873,0.24877800897229463,,
DS-B,PLS,10,SVM_linear,3,0.837002354036785,0.726469384055955,-0.0036326815694072145,-0.010410350690917003,0.8406350356061922,0.736879734746872,0.004368960973806679,0.975035495008342,1.7061548389028758,,
DS-B,PLS,10,SVM_rbf,3,0.9419066589307425,0.8733366885709922,0.03174808480445224,0.035298895326006496,0.9101585741262903,0.8380377932449857,0.004368960973806679,0.514175612013787,0.9377935489173979,,
DS-B,PLS,10,KNN,3,0.9169102620482708,0.8010856881184971,0.1292096423120559,0.24135214475905042,0.7877006197362149,0.5597335433594467,0.004368960973806679,0.002368123037740588,0.00028251297771930695,,
DS-B,PLS,10,GaussianNB,3,0.8410895827405127,0.7051357481944392,0.05919090610090938,0.14073173848468534,0.7818986766396033,0.5644040097097539,0.004368960973806679,0.0007808629889041185,0.0010992659954354167,,
DS-B,PLS,10,QDA,3,0.90379860975096,0.8232476427065685,-0.0006430178973313438,0.016808627250567643,0.9044416276482914,0.8064390154560008,0.004368960973806679,0.001280281925573945,0.005309417960233986,,
DS-B,PLS,10,ShrinkageLDA,3,0.8408382883898315,0.706074258103687,-5.173707219896517e-05,0.0005956373222181233,0.8408900254620305,0.7054786207814688,0.004368960973806679,0.0029752989066764712,0.0051839699735865,,
DS-B,PLS,10,LogRegL2,3,0.8437392599381371,0.7264018930610465,-0.0019549222280941247,-0.0065624060071332035,0.8456941821662313,0.7329642990681797,0.004368960973806679,0.07306902599520981,0.12140759499743581,,
DS-B,PLS,10,KDEBayes,3,0.9374092291545794,0.8603476119111818,0.2232085114874779,0.40456834293009436,0.7142007176671015,0.45577926898108745,0.004368960973806679,0.002579419990070164,0.004945178050547838,,
DS-B,PLS,10,MLP,4,0.9635697101615306,0.9187648099272926,0.027978669544233337,0.05537549890452198,0.9355910406172973,0.8633893110227706,0.004351618932560086,9.272853668080643,3.8335160410497338,,
