dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PLS,10,MLP,5,0.9530155312025251,0.908398898557005,0.009819466363810592,0.02547910350956961,0.9431960648387145,0.8829197950474353,0.004037309088744223,9.693499333108775,3.7305282569723204,,
DS-B,PLS,10,HGBT,5,0.9531372144131919,0.901874236558174,-0.00238941577309415,0.0003145454433292061,0.955526630186286,0.9015596911148448,0.004037309088744223,0.3612877830164507,0.2478929739445448,,
DS-B,PLS,10,SVM_linear,5,0.8593895190194545,0.7525198287665402,-6.452897535358382e-05,-0.0052715172241488695,0.8594540479948081,0.7577913459906891,0.004037309088744223,1.0107240660581738,1.7035296550020576,,
DS-B,PLS,10,SVM_rbf,5,0.9493097243322173,0.9007402445785371,0.02837615599050136,0.036790993595753996,0.9209335683417159,0.8639492509827831,0.004037309088744223,0.5124772270210087,0.9454945380566642,,
DS-B,PLS,10,KNN,5,0.9178804259649846,0.8201310016852519,0.12346974144161404,0.24151708363289226,0.7944106845233706,0.5786139180523596,0.004037309088744223,0.0023485850542783737,0.0002709960099309683,,
DS-B,PLS,10,GaussianNB,5,0.8552191035266006,0.731748727513195,0.07709184501246313,0.14783040919450452,0.7781272585141374,0.5839183183186905,0.004037309088744223,0.0007845989894121885,0.0010846800869330764,,
DS-B,PLS,10,QDA,5,0.9151794274251832,0.8407672947690753,0.003772179530671549,0.019802630492800177,0.9114072478945117,0.8209646642762751,0.004037309088744223,0.0012585489312186837,0.006622081971727312,,
DS-B,PLS,10,ShrinkageLDA,5,0.8574794613489874,0.7396921705508116,3.318633018178918e-05,0.0008489520415041474,0.8574462750188057,0.7388432185093075,0.004037309088744223,0.002988744992762804,0.00517495593521744,,
DS-B,PLS,10,LogRegL2,5,0.8606432248263247,0.7419360669261561,-0.0004941075827078478,-0.0031542991298408873,0.8611373324090326,0.745090366055997,0.004037309088744223,0.037278274074196815,0.15031219401862472,,
DS-B,PLS,10,KDEBayes,5,0.9418796737415006,0.8782056817236646,0.24012891045590645,0.45712489390466443,0.7017507632855942,0.4210807878190002,0.004037309088744223,0.0025423679035156965,0.004943259991705418,,
