dataset,method,q,model,fold,F12,G12,a1,a2,b1,b2,n1,n2,coverage,beta_pos,beta_neg,S_val,S_test,t_reducer,t_model,unary_device,n_selected,selected_indices
DS-B,PCA,5,UnaryMLP,1,0.1847547062115314,0.18817650839279826,0.1893687707641196,0.18131256952169078,0.1893687707641196,0.18798665183537264,301,899,0.36666667461395264,0.9956052899360657,0.9789847135543823,0.14257454048496535,0.13771057911333184,0.0010693429503589869,0.0,cuda:0,,
DS-B,PCA,5,UnaryMLP,2,0.18722714222360792,0.10562177233368493,0.3289036544850498,0.13125695216907676,0.09966777408637874,0.11345939933259176,301,899,0.42166668176651,0.9766513109207153,1.0171358585357666,0.17874881030302917,0.16082169914018668,0.0009950329549610615,0.0,cuda:0,,
DS-B,PCA,5,UnaryMLP,3,0.13447988151737744,0.06160932620235583,0.14285714285714285,0.12791991101223582,0.05647840531561462,0.06896551724137931,301,899,0.2475000023841858,1.0733888149261475,1.0068318843841553,0.11816063803119374,0.11907754996678849,0.0009921940509229898,0.0,cuda:0,,
DS-B,PCA,5,UnaryMLP,4,0.251300502737528,0.13224672824924266,0.3089700996677741,0.21245828698553948,0.11627906976744186,0.1546162402669633,301,899,0.46916666626930237,1.0295435190200806,0.991249144077301,0.20471167805013438,0.21823882067521735,0.0012428050395101309,0.0,cuda:0,,
DS-B,PCA,5,UnaryMLP,5,0.1497942616294981,0.09306814307810743,0.17549668874172186,0.13140311804008908,0.08609271523178808,0.10244988864142539,302,898,0.3166666626930237,1.0776667594909668,0.9783321022987366,0.1605567641093536,0.12652722585997125,0.0010086980182677507,0.0,cuda:0,,
DS-B,PCA,10,UnaryMLP,1,0.2673542093192262,0.11562582659308863,0.3222591362126246,0.22914349276974416,0.10631229235880399,0.12791991101223582,301,899,0.48000001907348633,0.9671937227249146,1.009279489517212,0.27716213165404163,0.23844775267095406,0.0010144669795408845,0.0,cuda:0,,
DS-B,PCA,10,UnaryMLP,2,0.1598371783367237,0.11442581633884924,0.16279069767441862,0.15795328142380421,0.12292358803986711,0.10789766407119021,301,899,0.32333335280418396,0.9888282418251038,1.00450599193573,0.13133096845417946,0.13123072425201138,0.0010004990035668015,0.0,cuda:0,,
DS-B,PCA,10,UnaryMLP,3,0.2740275024295061,0.11513924832749682,0.28903654485049834,0.26140155728587317,0.132890365448505,0.10233592880978866,301,899,0.4633333384990692,0.9902311563491821,0.9958351850509644,0.287542029782513,0.24524269034763188,0.0010358940344303846,0.0,cuda:0,,
DS-B,PCA,10,UnaryMLP,4,0.2669744613760938,0.09715681918060061,0.26578073089701,0.26918798665183535,0.09634551495016612,0.09899888765294772,301,899,0.4466666877269745,0.9828909635543823,1.0004650354385376,0.24591546424340605,0.24268525658094367,0.0010438939789310098,0.0,cuda:0,,
DS-B,PCA,10,UnaryMLP,5,0.24352485785857453,0.17368202396104573,0.2682119205298013,0.22383073496659242,0.16556291390728478,0.18374164810690424,302,898,0.4116666913032532,0.9675271511077881,1.0026246309280396,0.2276180746305734,0.2001043518683131,0.0010407320223748684,0.0,cuda:0,,
