dataset,method,q,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,dAUC_mean,dAUC_std,dPR_mean,dPR_std,t_red_med,t_mod_med
DS-B,Ensembleunar,5,KDEBayes,0.9179852379169706,0.011184694465392865,0.8225764133016913,0.014411046003643698,0.20376156761935796,0.01336114575108517,0.3780615509100437,0.01981157978853992,2667.4483800500166,0.001716720056720078
DS-B,Ensembleunar,5,KNN,0.9389713868764457,0.016021420028518297,0.8361732926662594,0.02633316416003262,0.14303478931227168,0.017556758679402762,0.26405334731476265,0.028273841862671976,2667.4483800500166,0.0015623890794813633
DS-B,Ensembleunar,5,MLP,0.9770956345935968,0.011694637992614266,0.9453185954671607,0.020957708115299276,0.0392311842820352,0.012312894732227794,0.08033249630358692,0.021195858443389722,2667.4483800500166,3.8591849280055612
DS-B,Ensembleunar,5,SVM_rbf,0.9395644547036252,0.009453676968206136,0.8850675783500132,0.01979908631339094,0.025591230368206385,0.009339288337835207,0.0351682578827909,0.017235885234492883,2667.4483800500166,0.49146057304460555
DS-B,Ensembleunar,5,GaussianNB,0.7935644967826411,0.01980651747366117,0.5913745932816565,0.02197517832993055,0.004761538880603733,0.01650081830202491,0.00435885320849605,0.016306320705323875,2667.4483800500166,0.0006326219299808145
DS-B,Ensembleunar,5,ShrinkageLDA,0.8498952328185204,0.007021321343661533,0.7225679732068733,0.010790222003087843,0.0026961636617136133,0.0034399602951588424,0.0037788166915518895,0.006206261934831002,2667.4483800500166,0.0018163589993491769
DS-B,Ensembleunar,5,LogRegL2,0.8500459052991772,0.0064045847445347295,0.7214974220111474,0.011335053943505537,0.0008758041439239417,0.004252054308991051,-0.01225814227743558,0.005735623103101636,2667.4483800500166,0.06752024102024734
DS-B,Ensembleunar,5,SVM_linear,0.844722024880714,0.007807534583460618,0.7296899288387821,0.01288519398968552,0.0006062624918307113,0.004919621046123753,-0.012997654208481446,0.0057508530770124,2667.4483800500166,0.7266866998979822
DS-B,Ensembleunar,5,HGBT,0.9472040059121539,0.009684951627558896,0.8814979621921732,0.011927562738417533,-0.0107068146021708,0.006698666819831373,-0.0243372354628699,0.006400867552197834,2667.4483800500166,0.2457040670560673
DS-B,Ensembleunar,5,QDA,0.8821230286460967,0.009080835674944056,0.7409036264102599,0.015450532781046272,-0.02886177903834184,0.005268716753030137,-0.08155925084654889,0.018282237171154358,2667.4483800500166,0.0006302670808508992
DS-B,Ensembleunar,10,KDEBayes,0.9615892686359013,0.00539042526001822,0.910848130664677,0.009507267853948637,0.24736559833828867,0.011841864518655317,0.4663332682730294,0.01904218733668994,2668.782656097086,0.0025603370741009712
DS-B,Ensembleunar,10,KNN,0.9501088335385018,0.013907022017008119,0.8670959612082202,0.03180688979723875,0.15417223597432786,0.017384046876714545,0.2949760158567234,0.028153261695693207,2668.782656097086,0.002394590061157942
DS-B,Ensembleunar,10,MLP,0.9825362162894352,0.0046014467616171915,0.9559251648981559,0.009527872771991028,0.04467176597787366,0.006439907594484378,0.09093906573458219,0.01551213840595197,2668.782656097086,2.1735112640308216
DS-B,Ensembleunar,10,SVM_rbf,0.956406895151434,0.00168436661750778,0.9113538356279068,0.00795013375731274,0.042433670816015255,0.00586181013888213,0.061454515160684633,0.011631784212866545,2668.782656097086,0.46533364593051374
DS-B,Ensembleunar,10,GaussianNB,0.8035698472248238,0.01162607464138629,0.6104106869645974,0.01215839063519552,0.014766889322786404,0.009553282199190686,0.02339494689143693,0.011621219824626258,2668.782656097086,0.0007169680902734399
DS-B,Ensembleunar,10,QDA,0.9198697421686584,0.0065525993920603634,0.8318228981855175,0.012652797900737069,0.008884934484219675,0.006164666745924635,0.009360020928708735,0.009773794387418593,2668.782656097086,0.0012443669838830829
DS-B,Ensembleunar,10,HGBT,0.9666400504574362,0.005349375699609611,0.9212002422248553,0.008256630605275527,0.008729229943111427,0.004025794777082499,0.015365044569812025,0.005968707408528467,2668.782656097086,0.24644487805198878
DS-B,Ensembleunar,10,ShrinkageLDA,0.8490369949696654,0.007047843283390379,0.723465941078832,0.012515549313934256,0.0018379258128586428,0.0035356415427438537,0.004676784563510639,0.004444385245650158,2668.782656097086,0.0030405400320887566
DS-B,Ensembleunar,10,SVM_linear,0.8455960460179377,0.006979404822471804,0.7350899131099319,0.010713905842674341,0.0014802836290544353,0.004518486888249881,-0.00759766993733173,0.007356727625629248,2668.782656097086,0.9289315140340477
DS-B,Ensembleunar,10,LogRegL2,0.8504339349676977,0.0058954438214248745,0.7273764850707549,0.012738492054622637,0.0012638338124444592,0.004315349277028492,-0.006379079217828076,0.009071005809775332,2668.782656097086,0.06904002605006099
DS-B,Ensembleunar,15,KDEBayes,0.9223586801811017,0.0046319290392329735,0.8300439432472444,0.015054207958760354,0.20813500988348901,0.012194178378323744,0.3855290808555968,0.01780668312377302,2666.6323519250145,0.0031700829276815057
