fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"240,244,266,376,492,512,764,779,896,1422,1581,1634,1729,1771",1.0,0.0,1.0
2,55.0,7.0,14.0,"42,240,248,266,492,512,821,896,1041,1066,1422,1581,1633,1771",0.7142857142857143,0.2857142857142857,0.6666666666666666
3,56.0,6.0,14.0,"13,244,248,266,364,376,492,764,779,1422,1581,1634,1872,1916",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"13,266,410,512,575,801,963,1255,1405,1634,1771,1835,1883,1899",1.0,0.0,1.0
5,56.0,6.0,14.0,"46,390,398,410,488,514,624,738,811,993,1325,1548,1633,1678",0.5,0.5,0.5714285714285714
6,56.0,6.0,14.0,"66,244,248,266,285,376,492,512,738,805,811,1284,1422,1883",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"137,364,376,418,512,779,891,896,1059,1333,1634,1770,1771,1883",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,248,285,376,492,560,580,1257,1324,1410,1493,1634,1883,1896",0.6666666666666666,0.33333333333333337,0.0
9,56.0,6.0,14.0,"136,244,248,266,344,376,492,624,764,891,896,1493,1634,1842",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"186,244,266,285,492,678,764,1057,1548,1581,1770,1771,1872,1959",1.0,0.0,1.0
mean,55.8,6.2,14.0,,0.8214285714285715,0.17857142857142855,0.7338095238095238
std,0.4216370213557839,0.4216370213557839,0.0,,0.1796703400424091,0.1796703400424091,0.3190630178705109
