fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"13,186,248,266,376,492,512,764,779,896,1634,1729,1771,1883",results_colon_cv_seed42_upd/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"46,248,492,512,738,805,896,1066,1230,1422,1581,1678,1771,1896",results_colon_cv_seed42_upd/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,244,248,266,492,570,764,779,1230,1255,1422,1581,1634,1872",results_colon_cv_seed42_upd/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_03_eta.csv
4,56.0,6.0,1.0,0.0,1.0,14.0,"189,220,410,575,963,1057,1510,1634,1770,1771,1835,1883,1886,1959",results_colon_cv_seed42_upd/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"46,65,390,398,410,488,514,811,1066,1634,1678,1771,1842,1892",results_colon_cv_seed42_upd/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"41,66,248,376,492,560,570,805,896,917,1324,1410,1422,1883",results_colon_cv_seed42_upd/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_06_eta.csv
7,56.0,6.0,1.0,0.0,1.0,14.0,"364,376,418,512,624,779,1059,1581,1647,1658,1667,1770,1771,1883",results_colon_cv_seed42_upd/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,65,180,285,376,492,560,580,1285,1410,1422,1634,1883,1916",results_colon_cv_seed42_upd/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,244,248,266,376,492,738,764,896,1059,1259,1422,1634,1896",results_colon_cv_seed42_upd/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_09_eta.csv
10,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"285,376,492,678,764,1057,1285,1545,1667,1770,1771,1872,1959,1997",results_colon_cv_seed42_upd/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_upd/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_upd/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.869047619047619,0.13095238095238093,0.8033333333333333,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.1048400382033564,0.1048400382033564,0.16514116669768203,0.0,,,,
