fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"13,186,248,266,376,492,512,764,779,896,1634,1729,1771,1883",1.0,0.0,1.0
2,55.0,7.0,14.0,"46,248,492,512,738,805,896,1066,1230,1422,1581,1678,1771,1896",0.7142857142857143,0.2857142857142857,0.6666666666666666
3,56.0,6.0,14.0,"13,244,248,266,492,570,764,779,1230,1255,1422,1581,1634,1872",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"189,220,410,575,963,1057,1510,1634,1770,1771,1835,1883,1886,1959",1.0,0.0,1.0
5,56.0,6.0,14.0,"46,65,390,398,410,488,514,811,1066,1634,1678,1771,1842,1892",0.8333333333333334,0.16666666666666663,0.8
6,56.0,6.0,14.0,"41,66,248,376,492,560,570,805,896,917,1324,1410,1422,1883",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"364,376,418,512,624,779,1059,1581,1647,1658,1667,1770,1771,1883",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,65,180,285,376,492,560,580,1285,1410,1422,1634,1883,1916",0.8333333333333334,0.16666666666666663,0.6666666666666666
9,56.0,6.0,14.0,"136,244,248,266,376,492,738,764,896,1059,1259,1422,1634,1896",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"285,376,492,678,764,1057,1285,1545,1667,1770,1771,1872,1959,1997",0.8333333333333334,0.16666666666666663,0.6666666666666666
mean,55.8,6.2,14.0,,0.8547619047619047,0.14523809523809522,0.79
std,0.4216370213557839,0.4216370213557839,0.0,,0.11580232677441918,0.11580232677441919,0.17072828748672012
