fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"13,244,266,376,492,512,764,779,896,1422,1634,1729,1771,1883",1.0,0.0,1.0
2,55.0,7.0,14.0,"42,137,142,240,492,512,1003,1041,1066,1422,1581,1633,1771,1872",0.7142857142857143,0.2857142857142857,0.6666666666666666
3,56.0,6.0,14.0,"13,140,244,248,266,376,492,764,779,1230,1581,1634,1872,1916",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"13,220,410,575,801,963,1255,1465,1581,1670,1771,1807,1835,1883",1.0,0.0,1.0
5,56.0,6.0,14.0,"46,390,398,410,488,514,624,811,993,1325,1503,1548,1633,1667",0.8333333333333334,0.16666666666666663,0.8
6,56.0,6.0,14.0,"25,41,66,248,266,285,376,492,512,805,811,1324,1422,1883",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"364,376,418,512,626,779,1059,1371,1578,1634,1678,1770,1771,1883",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,285,376,560,580,1257,1324,1410,1422,1729,1883,1891,1896,1916",0.6666666666666666,0.33333333333333337,0.0
9,56.0,6.0,14.0,"136,248,266,376,492,764,891,896,1493,1634,1647,1769,1842,1942",0.6666666666666666,0.33333333333333337,0.6666666666666666
10,56.0,6.0,14.0,"186,285,492,618,764,801,963,1057,1226,1510,1770,1771,1934,1959",1.0,0.0,1.0
mean,55.8,6.2,14.0,,0.8380952380952381,0.1619047619047619,0.7433333333333334
std,0.4216370213557839,0.4216370213557839,0.0,,0.15216585347564274,0.15216585347564274,0.3150739674080859
