fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"13,244,266,376,492,512,764,779,896,1422,1634,1729,1771,1883",results_colon_cv_seed42_upd_upd/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.7142857142857143,0.2857142857142857,0.6666666666666666,14.0,"42,137,142,240,492,512,1003,1041,1066,1422,1581,1633,1771,1872",results_colon_cv_seed42_upd_upd/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,140,244,248,266,376,492,764,779,1230,1581,1634,1872,1916",results_colon_cv_seed42_upd_upd/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_03_eta.csv
4,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,220,410,575,801,963,1255,1465,1581,1670,1771,1807,1835,1883",results_colon_cv_seed42_upd_upd/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,14.0,"46,390,398,410,488,514,624,811,993,1325,1503,1548,1633,1667",results_colon_cv_seed42_upd_upd/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"25,41,66,248,266,285,376,492,512,805,811,1324,1422,1883",results_colon_cv_seed42_upd_upd/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_06_eta.csv
7,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"364,376,418,512,626,779,1059,1371,1578,1634,1678,1770,1771,1883",results_colon_cv_seed42_upd_upd/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.6666666666666666,0.33333333333333337,0.0,14.0,"13,285,376,560,580,1257,1324,1410,1422,1729,1883,1891,1896,1916",results_colon_cv_seed42_upd_upd/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,248,266,376,492,764,891,896,1493,1634,1647,1769,1842,1942",results_colon_cv_seed42_upd_upd/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_09_eta.csv
10,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"186,285,492,618,764,801,963,1057,1226,1510,1770,1771,1934,1959",results_colon_cv_seed42_upd_upd/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_upd_upd/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_upd_upd/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.7880952380952381,0.21190476190476187,0.6566666666666666,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.1079189995136828,0.10791899951368282,0.2657623555540356,0.0,,,,
