fold,train_size,test_size,n_selected,selected_indices,fit_size_inner,par_size_inner,ckpt_size_inner,best_epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,S_ckpt,F12_ckpt,G12_ckpt,S_test,F12_test,G12_test,a1_test,a2_test,b1_test,b2_test,decided_count,conflict_count,reject_count,wrong_exclusive_count,correct_exclusive_count,coverage,conflict_rate,reject_rate,wrong_exclusive_rate,correct_exclusive_rate,selective_accuracy,selective_error,selective_f1,conservative_accuracy,conservative_error
1,55.0,7.0,14.0,"13,244,266,376,492,512,764,779,896,1422,1634,1729,1771,1883",33.0,11.0,11.0,110.0,0.5912995934486389,0.3336739242076874,0.25,0.6481581505887437,0.6481581505887437,0.0,0.9225801491504574,0.9225801491504574,0.0,0.4996252810392206,0.4996252810392206,0.0,0.3333333333333333,1.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.7142857142857143,1.0,0.0,1.0,0.7142857142857143,0.2857142857142857
2,55.0,7.0,14.0,"42,137,142,240,492,512,1003,1041,1066,1422,1581,1633,1771,1872",33.0,11.0,11.0,15.0,0.5709612965583801,0.5614537000656128,0.25,0.7995025317580172,0.7995025317580172,0.0,0.7312079555425562,0.7312079555425562,0.0,0.4611128189363665,0.4611128189363665,0.0,0.3333333333333333,0.75,0.0,0.0,5.0,0.0,2.0,1.0,4.0,0.7142857142857143,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.8,0.19999999999999996,0.6666666666666666,0.5714285714285714,0.4285714285714286
3,56.0,6.0,14.0,"13,140,244,248,266,376,492,764,779,1230,1581,1634,1872,1916",33.0,11.0,12.0,25.0,0.6177476048469543,0.6936497688293457,0.25,0.7312079555425562,0.7312079555425562,0.0,0.6813226744186047,0.6813226744186047,0.0,0.6662225183211193,0.6662225183211193,0.0,1.0,0.5,0.0,0.0,5.0,0.0,1.0,1.0,4.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8,0.19999999999999996,0.8,0.6666666666666666,0.33333333333333337
4,56.0,6.0,14.0,"13,220,410,575,801,963,1255,1465,1581,1670,1771,1807,1835,1883",33.0,11.0,12.0,235.0,0.3571605384349823,0.4262731969356537,0.25,0.5328360197149328,0.5328360197149328,0.0,0.8071955719557196,0.8071955719557196,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,1.0,3.0,0.0,2.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.6666666666666667
5,56.0,6.0,14.0,"46,390,398,410,488,514,624,811,993,1325,1503,1548,1633,1667",33.0,11.0,12.0,35.0,0.2151353806257248,0.4826207756996155,0.25,0.6481581505887437,0.6481581505887437,0.0,0.7687576875768758,0.7687576875768758,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,3.0,1.0,2.0,2.0,1.0,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666667,0.5,0.16666666666666666,0.8333333333333334
6,56.0,6.0,14.0,"25,41,66,248,266,285,376,492,512,805,811,1324,1422,1883",33.0,11.0,12.0,135.0,0.71451336145401,0.819000780582428,0.25,0.4610419548178884,0.4610419548178884,0.0,0.37462537462537465,0.37462537462537465,0.0,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.0,0.0,4.0,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5,0.75,0.25,0.6666666666666666,0.5,0.5
7,56.0,6.0,14.0,"364,376,418,512,626,779,1059,1371,1578,1634,1678,1770,1771,1883",33.0,11.0,12.0,95.0,0.26196524500846863,0.48814821243286133,0.25,0.4610419548178884,0.4610419548178884,0.0,0.4995004995004996,0.4995004995004996,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5
8,56.0,6.0,14.0,"13,285,376,560,580,1257,1324,1410,1422,1729,1883,1891,1896,1916",33.0,11.0,12.0,125.0,0.10009412467479706,0.1272180825471878,0.25,0.8566533409480298,0.8566533409480298,0.0,0.4995559502664299,0.4995559502664299,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.0,2.0,3.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334
9,56.0,6.0,14.0,"136,248,266,376,492,764,891,896,1493,1634,1647,1769,1842,1942",33.0,11.0,12.0,130.0,0.23374702036380768,0.3068601191043854,0.25,0.5877512636652169,0.5877512636652169,0.0,0.6662225183211193,0.6662225183211193,0.0,0.41627812932739705,0.4995004995004996,0.33288948069241014,0.5,0.5,0.5,0.25,3.0,2.0,1.0,0.0,3.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.5,1.0,0.0,1.0,0.5,0.5
10,56.0,6.0,14.0,"186,285,492,618,764,801,963,1057,1226,1510,1770,1771,1934,1959",33.0,11.0,12.0,220.0,0.24640531837940216,0.08374461531639099,0.25,0.9225801491504574,0.9225801491504574,0.0,0.9328358208955224,0.9328358208955224,0.0,-0.08322237017310254,0.0,0.33288948069241014,0.0,0.75,0.5,0.25,3.0,2.0,1.0,0.0,3.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.5,1.0,0.0,0.0,0.5,0.5
