fold,train_size,test_size,n_selected,selected_indices,fit_size_inner,par_size_inner,ckpt_size_inner,best_epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,S_ckpt,F12_ckpt,G12_ckpt,S_test,F12_test,G12_test,a1_test,a2_test,b1_test,b2_test,decided_count,conflict_count,reject_count,wrong_exclusive_count,correct_exclusive_count,coverage,conflict_rate,reject_rate,wrong_exclusive_rate,correct_exclusive_rate,selective_accuracy,selective_error,selective_f1,conservative_accuracy,conservative_error
1,55.0,7.0,14.0,"240,266,376,492,512,764,779,896,1066,1634,1729,1770,1771,1883",33.0,11.0,11.0,60.0,0.37164977192878723,0.18034188449382782,1.0,0.6481581505887437,0.6481581505887437,0.0,0.8328475056217207,0.8328475056217207,0.0,0.5709391949757352,0.5709391949757352,0.0,0.6666666666666666,0.5,0.0,0.5,4.0,2.0,1.0,0.0,4.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,1.0,0.0,1.0,0.5714285714285714,0.4285714285714286
2,55.0,7.0,14.0,"42,71,240,248,492,512,821,1003,1041,1422,1581,1633,1771,1872",33.0,11.0,11.0,90.0,0.19977344572544098,0.41554927825927734,1.0,0.7312079555425562,0.7312079555425562,0.0,0.7312079555425562,0.7312079555425562,0.0,0.3632401017072285,0.3632401017072285,0.0,0.6666666666666666,0.25,0.0,0.5,3.0,2.0,2.0,0.0,3.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,1.0,0.0,1.0,0.42857142857142855,0.5714285714285714
3,56.0,6.0,14.0,"13,244,248,266,364,376,492,764,779,1230,1581,1634,1872,1916",33.0,11.0,12.0,170.0,0.354172021150589,0.6395413875579834,1.0,0.4610419548178884,0.4610419548178884,0.0,0.7687576875768758,0.7687576875768758,0.0,0.6662225183211193,0.6662225183211193,0.0,1.0,0.5,0.0,0.25,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
4,56.0,6.0,14.0,"13,410,512,575,801,963,1041,1465,1581,1770,1771,1807,1835,1883",33.0,11.0,12.0,30.0,0.4141406714916229,0.5259333252906799,1.0,0.5877512636652169,0.5877512636652169,0.0,0.5995203836930456,0.5995203836930456,0.0,-0.33288948069241014,0.0,0.33288948069241014,0.0,0.75,0.5,0.25,3.0,2.0,1.0,0.0,3.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.5,1.0,0.0,0.0,0.5,0.5
5,56.0,6.0,14.0,"46,390,398,410,488,514,608,624,811,993,1001,1325,1345,1548",33.0,11.0,12.0,50.0,0.21093632280826569,0.14788439869880676,1.0,0.7312079555425562,0.7312079555425562,0.0,0.7687576875768758,0.7687576875768758,0.0,0.33288948069241014,0.33288948069241014,0.0,0.5,0.25,0.0,0.25,2.0,1.0,3.0,0.0,2.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
6,56.0,6.0,14.0,"25,65,66,248,266,285,376,492,512,738,811,1324,1422,1883",33.0,11.0,12.0,160.0,0.1578340083360672,0.6312329173088074,1.0,0.544992127891486,0.544992127891486,0.0,0.5995203836930456,0.5995203836930456,0.0,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.0,0.0,4.0,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5,0.75,0.25,0.6666666666666666,0.5,0.5
7,56.0,6.0,14.0,"364,418,512,626,779,1059,1259,1333,1371,1634,1647,1770,1771,1883",33.0,11.0,12.0,95.0,0.20393311977386475,0.53534996509552,1.0,0.5328360197149328,0.5328360197149328,0.0,0.6813226744186047,0.6813226744186047,0.0,0.33288948069241014,0.33288948069241014,0.0,0.5,0.25,0.5,0.0,2.0,1.0,3.0,0.0,2.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
8,56.0,6.0,14.0,"13,180,285,376,560,580,801,1257,1324,1410,1634,1883,1896,1916",33.0,11.0,12.0,60.0,0.2671068012714386,0.1475953310728073,1.0,0.8566533409480298,0.8566533409480298,0.0,0.7495003331112592,0.7495003331112592,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,3.0,1.0,2.0,1.0,2.0,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.0,0.3333333333333333,0.6666666666666667
9,56.0,6.0,14.0,"136,244,248,266,376,492,779,891,896,1493,1634,1647,1842,1866",33.0,11.0,12.0,20.0,0.8495200276374817,0.6351152658462524,1.0,0.3699866804795027,0.3699866804795027,0.0,0.37462537462537465,0.37462537462537465,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334
10,56.0,6.0,14.0,"266,285,492,678,764,1057,1167,1226,1770,1771,1872,1934,1959,1997",33.0,11.0,12.0,120.0,0.26128026843070984,0.3228168785572052,1.0,0.8328475056217207,0.8328475056217207,0.0,0.8566533409480298,0.8566533409480298,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,3.0,1.0,2.0,0.0,3.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.5,1.0,0.0,0.0,0.5,0.5
