fold,train_size,test_size,n_selected,selected_indices,fit_size_inner,par_size_inner,ckpt_size_inner,best_epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,S_ckpt,F12_ckpt,G12_ckpt,S_test,F12_test,G12_test,a1_test,a2_test,b1_test,b2_test,decided_count,conflict_count,reject_count,wrong_exclusive_count,correct_exclusive_count,coverage,conflict_rate,reject_rate,wrong_exclusive_rate,correct_exclusive_rate,selective_accuracy,selective_error,selective_f1,conservative_accuracy,conservative_error
1,55.0,7.0,14.0,"240,244,266,376,492,512,764,779,896,1422,1581,1634,1771,1883",33.0,11.0,11.0,230.0,0.09141062945127487,0.035301271826028824,0.25,0.5328360197149328,0.5328360197149328,0.0,0.9995002498750625,0.9995002498750625,0.0,0.4996252810392206,0.4996252810392206,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,5.0,1.0,1.0,0.0,5.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,1.0,0.0,1.0,0.7142857142857143,0.2857142857142857
2,55.0,7.0,14.0,"42,71,240,248,266,492,821,1041,1066,1581,1633,1678,1771,1872",33.0,11.0,11.0,15.0,0.7127647995948792,0.753779411315918,0.25,0.5328360197149328,0.5328360197149328,0.0,0.7995025317580172,0.7995025317580172,0.0,0.4611128189363665,0.4611128189363665,0.0,0.3333333333333333,0.75,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.5714285714285714,1.0,0.0,1.0,0.5714285714285714,0.4285714285714286
3,56.0,6.0,14.0,"13,244,248,266,364,376,492,764,1422,1581,1634,1770,1872,1916",33.0,11.0,12.0,50.0,0.38637587428092957,0.5357012748718262,0.25,0.5328360197149328,0.5328360197149328,0.0,0.8566533409480298,0.8566533409480298,0.0,0.6662225183211193,0.6662225183211193,0.0,1.0,0.5,0.0,0.25,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
4,56.0,6.0,14.0,"13,410,512,575,801,963,1041,1255,1405,1634,1771,1835,1883,1959",33.0,11.0,12.0,210.0,0.19181270897388458,0.24975371360778809,0.25,0.7312079555425562,0.7312079555425562,0.0,0.594345311726868,0.6359011627906977,0.16622340425531915,0.0,0.0,0.0,0.0,0.5,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.6666666666666667
5,56.0,6.0,14.0,"46,390,398,410,488,514,738,811,993,1325,1548,1633,1667,1678",33.0,11.0,12.0,95.0,0.2949652075767517,0.12530268728733063,0.25,0.6662225183211193,0.6662225183211193,0.0,0.8071955719557196,0.8071955719557196,0.0,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5
6,56.0,6.0,14.0,"66,248,266,285,376,492,512,738,805,1284,1324,1422,1770,1883",33.0,11.0,12.0,45.0,0.2991965711116791,0.46303531527519226,0.25,0.8566533409480298,0.8566533409480298,0.0,0.8071955719557196,0.8071955719557196,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.0,0.0,5.0,0.0,1.0,1.0,4.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8,0.19999999999999996,0.6666666666666666,0.6666666666666666,0.33333333333333337
7,56.0,6.0,14.0,"364,376,418,512,626,779,896,1059,1259,1333,1634,1770,1771,1883",33.0,11.0,12.0,105.0,0.16331352293491364,0.610722005367279,0.25,0.544992127891486,0.544992127891486,0.0,0.6662225183211193,0.6662225183211193,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5
8,56.0,6.0,14.0,"13,285,376,492,560,580,1410,1422,1634,1673,1729,1883,1896,1916",33.0,11.0,12.0,80.0,0.3778838813304901,0.48397788405418396,0.25,0.9225801491504574,0.9225801491504574,0.0,0.6813226744186047,0.6813226744186047,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4.0,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5,0.75,0.25,0.0,0.5,0.5
9,56.0,6.0,14.0,"136,244,248,266,376,492,624,764,891,896,1493,1634,1770,1842",33.0,11.0,12.0,105.0,0.20504111051559448,0.3887573182582855,0.25,0.6028190138459073,0.6481581505887437,0.18135654697134565,0.4718397967895973,0.5550621669626998,0.33288948069241014,-0.09992006394884094,0.0,0.39968025579536376,0.0,0.25,1.0,0.25,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.0,0.16666666666666666,0.8333333333333334
10,56.0,6.0,14.0,"186,244,266,285,492,618,764,1057,1548,1770,1771,1872,1934,1959",33.0,11.0,12.0,110.0,0.5705580711364746,0.21678262948989868,0.25,0.8328475056217207,0.8328475056217207,0.0,0.9328358208955224,0.9328358208955224,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.0,0.25,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
