fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"71,244,248,266,376,492,512,764,779,896,1066,1770,1872,1883",results_colon_cv_seed42_mini/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"30,46,240,244,248,700,821,1041,1066,1324,1581,1633,1634,1771",results_colon_cv_seed42_mini/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,244,248,266,285,364,492,560,764,993,1230,1255,1634,1872",results_colon_cv_seed42_mini/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_03_eta.csv
4,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"46,404,410,575,697,963,1230,1405,1547,1770,1771,1835,1883,1959",results_colon_cv_seed42_mini/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.5,0.5,0.5714285714285714,14.0,"46,82,390,398,410,488,514,1001,1465,1548,1633,1678,1923,1982",results_colon_cv_seed42_mini/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"42,66,198,248,285,376,492,662,738,1209,1324,1422,1723,1749",results_colon_cv_seed42_mini/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_06_eta.csv
7,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"31,46,285,512,626,779,831,1059,1333,1533,1581,1658,1770,1771",results_colon_cv_seed42_mini/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,285,376,580,823,829,833,1001,1207,1327,1410,1422,1883,1916",results_colon_cv_seed42_mini/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,248,364,376,418,492,512,779,891,1103,1634,1667,1670,1883",results_colon_cv_seed42_mini/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_09_eta.csv
10,56.0,6.0,1.0,0.0,1.0,14.0,"186,285,492,764,881,1057,1059,1209,1464,1510,1770,1872,1959,1997",results_colon_cv_seed42_mini/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_mini/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_mini/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.819047619047619,0.18095238095238092,0.7471428571428571,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.14642803372379445,0.14642803372379443,0.16587795238344263,0.0,,,,
