fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"71,244,248,266,376,492,512,764,779,896,1066,1770,1872,1883",1.0,0.0,1.0
2,55.0,7.0,14.0,"30,46,240,244,248,700,821,1041,1066,1324,1581,1633,1634,1771",0.7142857142857143,0.2857142857142857,0.6666666666666666
3,56.0,6.0,14.0,"13,244,248,266,285,364,492,560,764,993,1230,1255,1634,1872",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"46,404,410,575,697,963,1230,1405,1547,1770,1771,1835,1883,1959",0.8333333333333334,0.16666666666666663,0.6666666666666666
5,56.0,6.0,14.0,"46,82,390,398,410,488,514,1001,1465,1548,1633,1678,1923,1982",0.5,0.5,0.5714285714285714
6,56.0,6.0,14.0,"42,66,198,248,285,376,492,662,738,1209,1324,1422,1723,1749",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"31,46,285,512,626,779,831,1059,1333,1533,1581,1658,1770,1771",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,285,376,580,823,829,833,1001,1207,1327,1410,1422,1883,1916",0.6666666666666666,0.33333333333333337,0.0
9,56.0,6.0,14.0,"136,248,364,376,418,492,512,779,891,1103,1634,1667,1670,1883",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"186,285,492,764,881,1057,1059,1209,1464,1510,1770,1872,1959,1997",1.0,0.0,1.0
mean,55.8,6.2,14.0,,0.8047619047619048,0.1952380952380952,0.7004761904761904
std,0.4216370213557839,0.4216370213557839,0.0,,0.16865779630653327,0.16865779630653327,0.30527775456558026
