fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"13,137,244,266,376,492,512,779,1041,1109,1615,1634,1770,1771",1.0,0.0,1.0
2,55.0,7.0,14.0,"46,266,439,738,779,991,1041,1066,1422,1581,1634,1678,1771,1893",0.8571428571428571,0.1428571428571429,0.8
3,56.0,6.0,14.0,"244,248,266,364,492,570,764,779,939,1230,1581,1770,1838,1872",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"77,410,575,963,1057,1167,1209,1405,1770,1771,1835,1883,1886,1959",1.0,0.0,1.0
5,56.0,6.0,14.0,"46,390,398,410,488,514,738,811,1057,1066,1318,1325,1634,1892",0.8333333333333334,0.16666666666666663,0.6666666666666666
6,56.0,6.0,14.0,"66,248,266,285,376,492,560,779,917,1209,1324,1422,1771,1883",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"285,364,512,779,1059,1581,1634,1667,1678,1760,1770,1771,1883,1981",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,285,376,452,492,494,560,580,801,1072,1257,1285,1422,1883",0.8333333333333334,0.16666666666666663,0.6666666666666666
9,56.0,6.0,14.0,"136,244,248,266,364,376,492,624,1059,1259,1422,1465,1634,1770",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"137,140,285,492,678,764,1057,1146,1255,1770,1771,1872,1934,1959",0.8333333333333334,0.16666666666666663,0.6666666666666666
mean,55.8,6.2,14.0,,0.869047619047619,0.13095238095238093,0.79
std,0.4216370213557839,0.4216370213557839,0.0,,0.1048400382033564,0.1048400382033564,0.17072828748672012
