dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,Ensembleunar,10,MLP,1,0.9839023795357706,0.9591111324780363,0.0464340222986781,0.0903139130116899,0.9374683572370925,0.8687972194663464,2667.4955858760513,1.8224493379238993,3.950374086969532,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,HGBT,1,0.9655024593586821,0.9204731941865147,0.0035070343940665216,0.00878202839061304,0.9619954249646155,0.9116911657959017,2667.4955858760513,0.24644487805198878,0.24698162695858628,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_linear,1,0.8468471797752394,0.7311076051979145,0.001186257155421977,-0.015720469538286097,0.8456609226198174,0.7468280747362006,2667.4955858760513,0.9289315140340477,1.7158678129781038,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_rbf,1,0.9586066467355755,0.9139256340083822,0.043595874338042684,0.050033799641996946,0.9150107723975328,0.8638918343663853,2667.4955858760513,0.46702255599666387,0.9508488099090755,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KNN,1,0.9485678069763747,0.8573123881873495,0.13046057080772655,0.27193794657339854,0.8181072361686481,0.5853744416139509,2667.4955858760513,0.002389454049989581,0.0002674319548532367,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,GaussianNB,1,0.8191863236745147,0.6287690623363207,0.018558826898842917,0.016977719875427066,0.8006274967756718,0.6117913424608936,2667.4955858760513,0.0006983730709180236,0.0017879290971904993,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,QDA,1,0.9260788103429798,0.8496727615824254,0.005613472333600433,0.005100451444682741,0.9204653380093794,0.8445723101377427,2667.4955858760513,0.0013422078918665648,0.003589408006519079,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,ShrinkageLDA,1,0.8512596129327898,0.7225926622680039,-0.0019733997538792236,-0.00013656296540376367,0.8532330126866691,0.7227292252334077,2667.4955858760513,0.003007597988471389,0.006160677992738783,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,LogRegL2,1,0.8514369971803295,0.7190275215338501,-0.001489288578302106,-0.018543017748741453,0.8529262857586316,0.7375705392825915,2667.4955858760513,0.061100571998395026,0.13948148500639945,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KDEBayes,1,0.9646340156467689,0.9180719574897531,0.23862246349764793,0.4550867686286374,0.7260115521491209,0.4629851888611157,2667.4955858760513,0.0025532139698043466,0.00899981101974845,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,MLP,2,0.9892423844877475,0.9684116291542084,0.05349982815901022,0.11531198283003508,0.9357425563287373,0.8530996463241733,2668.3246511309408,2.270010350039229,2.4991989589761943,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,HGBT,2,0.9748668694267163,0.9281852574284443,0.011847789533590336,0.01187470309968175,0.963019079893126,0.9163105543287625,2668.3246511309408,0.25024379591923207,0.37900772399734706,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_linear,2,0.8492954519418032,0.7360409587939369,0.006879182849899634,-0.00762640509539203,0.8424162690919036,0.743667363889329,2668.3246511309408,0.942953895078972,1.7045436800690368,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_rbf,2,0.9571118148995377,0.9158935852799541,0.037659045303197636,0.06601805482917589,0.91945276959634,0.8498755304507782,2668.3246511309408,0.46681615395937115,0.9394004900241271,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KNN,2,0.9710863676510261,0.916888759777638,0.1734854895990008,0.33127543724223685,0.7976008780520253,0.5856133225354011,2668.3246511309408,0.002394590061157942,0.0002904279390349984,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,GaussianNB,2,0.8063185747175708,0.6138706348501338,0.021267632178980644,0.02589780358310778,0.7850509425385902,0.587972831267026,2668.3246511309408,0.0007169680902734399,0.0011158239794895053,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,QDA,2,0.9278933033751049,0.8387422216467164,0.006493002560985062,0.007838867574443631,0.9214003008141198,0.8309033540722728,2668.3246511309408,0.0012443669838830829,0.006462589022703469,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,ShrinkageLDA,2,0.8541679754914098,0.7311070930245847,0.002594244620268249,0.004420897959004022,0.8515737308711415,0.7266861950655806,2668.3246511309408,0.0030448909383267164,0.005230739014223218,10,"2,5,6,9,18,22,25,26,27,29"
