dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,Ensembleunar,10,MLP,4,0.9822394022150859,0.9546035167832165,0.04664836159778862,0.09121420576044592,0.9355910406172973,0.8633893110227706,2669.5260122710606,3.4797287770779803,2.562098569003865,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,HGBT,4,0.9679156242262537,0.9283983991738246,0.013240994977808507,0.023578720660585306,0.9546746292484452,0.9048196785132393,2669.5260122710606,0.3098885769722983,0.2505747419781983,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_linear,4,0.8355906710667814,0.7193977365688385,0.0031781344350865215,-0.008873659304388881,0.8324125366316949,0.7282713958732274,2669.5260122710606,0.9262898520100862,1.675676817074418,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_rbf,4,0.9549628786506972,0.9128136911005087,0.0506524414354822,0.07907149780932987,0.904310437215215,0.8337421932911788,2669.5260122710606,0.46533364593051374,0.9519176869653165,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KNN,4,0.949207129368549,0.8695790973954443,0.16734356002793804,0.3183145961991187,0.781863569340611,0.5512645011963255,2669.5260122710606,0.0024147139629349113,0.00027865206357091665,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,GaussianNB,4,0.7991973362798827,0.596039633039002,0.0008869212376985125,0.00904743442956335,0.7983104150421841,0.5869921986094386,2669.5260122710606,0.0007191190961748362,0.0011153069790452719,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,QDA,4,0.9159087801507027,0.8282836874752905,0.018699256094811822,0.018848645133538122,0.8972095240558908,0.8094350423417523,2669.5260122710606,0.0012533690314739943,0.005352618056349456,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,ShrinkageLDA,4,0.8396446402240955,0.7114762368273013,0.006792338478708304,0.011267713840459104,0.8328523017453872,0.7002085229868422,2669.5260122710606,0.0030402479460462928,0.005185792921110988,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,LogRegL2,4,0.8410858872353556,0.7101895679052186,0.004966758931112092,-0.006146412783102684,0.8361191283042435,0.7163359806883213,2669.5260122710606,0.06114651297684759,0.1604516200022772,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KDEBayes,4,0.9584366534983499,0.9053982501346486,0.2626506380289654,0.48454694741695603,0.6957860154693846,0.42085130271769255,2669.5260122710606,0.002568003023043275,0.004962397972121835,10,"2,5,6,9,18,22,25,26,27,29"
