dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,HSIC_Lasso,10,MLP,1,0.9579045007557309,0.8985638729866758,0.020436143518638317,0.029766653520329478,0.9374683572370925,0.8687972194663464,0.1634006870444864,8.290532084996812,3.9624219170073047,,
DS-B,HSIC_Lasso,10,HGBT,1,0.9595933466125152,0.902177522693715,-0.0024020783521003786,-0.00951364310218672,0.9619954249646155,0.9116911657959017,0.1634006870444864,0.28751688601914793,0.311274990090169,,
DS-B,HSIC_Lasso,10,SVM_linear,1,0.845206375485497,0.728350464042956,-0.00045454713432036,-0.018477610693244606,0.8456609226198174,0.7468280747362006,0.1634006870444864,0.9164133999729529,1.7444636420113966,,
DS-B,HSIC_Lasso,10,SVM_rbf,1,0.9133256220459055,0.8628334698306542,-0.001685150351627307,-0.001058364535731049,0.9150107723975328,0.8638918343663853,0.1634006870444864,0.6752318410435691,0.9515245239017531,,
DS-B,HSIC_Lasso,10,KNN,1,0.8442159801034003,0.6784233774247963,0.026108743934752154,0.09304893581084539,0.8181072361686481,0.5853744416139509,0.1634006870444864,0.0023842540103942156,0.0002598160644993186,,
DS-B,HSIC_Lasso,10,GaussianNB,1,0.8193341438807978,0.6233699630328753,0.01870664710512604,0.011578620571981668,0.8006274967756718,0.6117913424608936,0.1634006870444864,0.0007019670447334647,0.0010868279496207833,,
DS-B,HSIC_Lasso,10,QDA,1,0.90943795062066,0.79937003188544,-0.011027387388719334,-0.04520227825230272,0.9204653380093794,0.8445723101377427,0.1634006870444864,0.0012687259586527944,0.0044717040145769715,,
DS-B,HSIC_Lasso,10,ShrinkageLDA,1,0.853513871078607,0.718370209430713,0.0002808583919379215,-0.00435901580269471,0.8532330126866691,0.7227292252334077,0.1634006870444864,0.0030261739157140255,0.006098192068748176,,
DS-B,HSIC_Lasso,10,LogRegL2,1,0.8513446095514026,0.7179595071420684,-0.0015816762072290436,-0.019611032140523177,0.8529262857586316,0.7375705392825915,0.1634006870444864,0.06713674089405686,0.13372866704594344,,
DS-B,HSIC_Lasso,10,KDEBayes,1,0.8712855553789927,0.7379551800022869,0.14527400322987172,0.27496999114117116,0.7260115521491209,0.4629851888611157,0.1634006870444864,0.002556322026066482,0.00899375497829169,,
DS-B,HSIC_Lasso,10,MLP,2,0.9694344768458125,0.9254982717330611,0.03369192051707526,0.07239862540888775,0.9357425563287373,0.8530996463241733,0.1474948610411957,9.506646277033724,3.78305168193765,,
DS-B,HSIC_Lasso,10,HGBT,2,0.9564780357650989,0.8895630605904595,-0.006541044128027029,-0.026747493738302985,0.963019079893126,0.9163105543287625,0.1474948610411957,0.2862031450495124,0.29533790703862906,,
DS-B,HSIC_Lasso,10,SVM_linear,2,0.8469284808886951,0.7320312550966709,0.00451221179679151,-0.011636108792658084,0.8424162690919036,0.743667363889329,0.1474948610411957,0.921532433014363,1.6979580930201337,,
DS-B,HSIC_Lasso,10,SVM_rbf,2,0.9237949881559059,0.8480620784268453,0.004342218559565847,-0.0018134520239329044,0.91945276959634,0.8498755304507782,0.1474948610411957,0.7140990489860997,0.941143173025921,,
DS-B,HSIC_Lasso,10,KNN,2,0.8638538945081098,0.6995787085276475,0.0662530164560845,0.11396538599224637,0.7976008780520253,0.5856133225354011,0.1474948610411957,0.0024046889739111066,0.00028836994897574186,,
DS-B,HSIC_Lasso,10,GaussianNB,2,0.8037501986334022,0.6147921243573382,0.018699256094812045,0.02681929309031217,0.7850509425385902,0.587972831267026,0.1474948610411957,0.0007246190216392279,0.001092185964807868,,
DS-B,HSIC_Lasso,10,QDA,2,0.8973351712312315,0.7787058814748913,-0.02406512958288831,-0.0521974725973815,0.9214003008141198,0.8309033540722728,0.1474948610411957,0.001236461102962494,0.0065997770288959146,,
