dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,HSIC_Lasso,5,MLP,4,0.9795121194091626,0.9506567046550995,0.04392107879186535,0.08726739363232894,0.9355910406172973,0.8633893110227706,0.11274984304327518,6.865369378007017,3.8754552099853754,,
DS-B,HSIC_Lasso,5,HGBT,4,0.949896341080344,0.8988481441529209,-0.004778288168101108,-0.005971534360318387,0.9546746292484452,0.9048196785132393,0.11274984304327518,0.2815659489715472,0.24800171807873994,,
DS-B,HSIC_Lasso,5,SVM_linear,4,0.8354188300769773,0.7193365238770109,0.0030062934452823598,-0.008934871996216565,0.8324125366316949,0.7282713958732274,0.11274984304327518,0.7250158559763804,1.6791285999352112,,
DS-B,HSIC_Lasso,5,SVM_rbf,4,0.9489724647910746,0.9026740049421221,0.044662027575859575,0.06893181165094331,0.904310437215215,0.8337421932911788,0.11274984304327518,0.46737686393316835,0.947652903967537,,
DS-B,HSIC_Lasso,5,KNN,4,0.9446468760047155,0.8650965413926384,0.16278330666410457,0.31383204019631283,0.781863569340611,0.5512645011963255,0.11274984304327518,0.0015675029717385769,0.00026847398839890957,,
DS-B,HSIC_Lasso,5,GaussianNB,4,0.7821314934644992,0.5743767967740467,-0.016178921577684968,-0.012615401835391893,0.7983104150421841,0.5869921986094386,0.11274984304327518,0.0006425569299608469,0.0010922570945695043,,
DS-B,HSIC_Lasso,5,QDA,4,0.8853691255326146,0.7604386726178615,-0.01184039852327623,-0.048996369723890876,0.8972095240558908,0.8094350423417523,0.11274984304327518,0.0006271890597417951,0.006184290978126228,,
DS-B,HSIC_Lasso,5,ShrinkageLDA,4,0.8397592008839649,0.7099424074963379,0.006906899138577782,0.009733884509495638,0.8328523017453872,0.7002085229868422,0.11274984304327518,0.0017992210341617465,0.0052025249460712075,,
DS-B,HSIC_Lasso,5,LogRegL2,4,0.8411265377920836,0.7097871900573401,0.005007409487840064,-0.006548790630981127,0.8361191283042435,0.7163359806883213,0.11274984304327518,0.04579881893005222,0.13914140709675848,,
DS-B,HSIC_Lasso,5,KDEBayes,4,0.927852652818377,0.8455129971004731,0.23206663734899247,0.42466169438278056,0.6957860154693846,0.42085130271769255,0.11274984304327518,0.0016944470116868615,0.004996769945137203,,
