dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PLS,5,MLP,1,0.9609015554381206,0.9086841251952927,0.02343319820102807,0.039886905728946376,0.9374683572370925,0.8687972194663464,0.011615986935794353,5.4767744350247085,3.909969835076481,,
DS-B,PLS,5,HGBT,1,0.9520619071023915,0.8924954384074417,-0.009933517862224073,-0.019195727388459982,0.9619954249646155,0.9116911657959017,0.011615986935794353,0.2825712540652603,0.2897615709807724,,
DS-B,PLS,5,SVM_linear,1,0.8504983388704318,0.7164867168957421,0.004837416250614401,-0.03034135784045855,0.8456609226198174,0.7468280747362006,0.011615986935794353,0.8184803189942613,1.7456705630756915,,
DS-B,PLS,5,SVM_rbf,1,0.9534698945672379,0.8970018768607653,0.03845912216970504,0.03311004249437999,0.9150107723975328,0.8638918343663853,0.011615986935794353,0.47251983103342354,0.9512237060116604,,
DS-B,PLS,5,KNN,1,0.9283755667981035,0.8294371222758858,0.1102683306294554,0.24406268066193493,0.8181072361686481,0.5853744416139509,0.011615986935794353,0.0015076929703354836,0.00026976701337844133,,
DS-B,PLS,5,GaussianNB,1,0.8581110794940114,0.7030563243913087,0.05748358271833964,0.0912649819304151,0.8006274967756718,0.6117913424608936,0.011615986935794353,0.0006898549618199468,0.001107137999497354,,
DS-B,PLS,5,QDA,1,0.8946965805490783,0.8035195355243271,-0.02576875746030105,-0.04105277461341561,0.9204653380093794,0.8445723101377427,0.011615986935794353,0.0006150209810584784,0.0023028469877317548,,
DS-B,PLS,5,ShrinkageLDA,1,0.8520689285621899,0.7147332674883734,-0.0011640841244792144,-0.007995957745034254,0.8532330126866691,0.7227292252334077,0.011615986935794353,0.0017933209892362356,0.005178085062652826,,
DS-B,PLS,5,LogRegL2,1,0.8552433674921193,0.7082369934311469,0.002317081733487658,-0.029333545851444653,0.8529262857586316,0.7375705392825915,0.011615986935794353,0.03175422898493707,0.13981544296257198,,
DS-B,PLS,5,KDEBayes,1,0.9506982656994298,0.8935392391816506,0.2246867135503089,0.43055405032053484,0.7260115521491209,0.4629851888611157,0.011615986935794353,0.001689214026555419,0.004930970026180148,,
DS-B,PLS,5,MLP,2,0.96335537086242,0.909167620518986,0.027612814533682695,0.056067974194812686,0.9357425563287373,0.8530996463241733,0.002858766005374491,4.7514250659151,3.7340444499859586,,
DS-B,PLS,5,HGBT,2,0.9471468852434783,0.8869701728091192,-0.01587219464964762,-0.029340381519643355,0.963019079893126,0.9163105543287625,0.002858766005374491,0.35405569709837437,0.24673821905162185,,
DS-B,PLS,5,SVM_linear,2,0.8448645412584673,0.7163003319195976,0.0024482721665637364,-0.027367031969731337,0.8424162690919036,0.743667363889329,0.002858766005374491,0.790388323017396,1.7023404010105878,,
DS-B,PLS,5,SVM_rbf,2,0.9491978906056564,0.8902697646058879,0.029745121009316366,0.040394234155109676,0.91945276959634,0.8498755304507782,0.002858766005374491,0.48571113392245024,0.9376633329084143,,
