dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,PLS,5,MLP,2,0.96335537086242,0.909167620518986,0.027612814533682695,0.056067974194812686,0.9357425563287373,0.8530996463241733,0.002858766005374491,4.7514250659151,3.7340444499859586,,
DS-B,PLS,5,HGBT,2,0.9471468852434783,0.8869701728091192,-0.01587219464964762,-0.029340381519643355,0.963019079893126,0.9163105543287625,0.002858766005374491,0.35405569709837437,0.24673821905162185,,
DS-B,PLS,5,SVM_linear,2,0.8448645412584673,0.7163003319195976,0.0024482721665637364,-0.027367031969731337,0.8424162690919036,0.743667363889329,0.002858766005374491,0.790388323017396,1.7023404010105878,,
DS-B,PLS,5,SVM_rbf,2,0.9491978906056564,0.8902697646058879,0.029745121009316366,0.040394234155109676,0.91945276959634,0.8498755304507782,0.002858766005374491,0.48571113392245024,0.9376633329084143,,
DS-B,PLS,5,KNN,2,0.9245821307543635,0.8176185724673877,0.12698125270233818,0.23200524993198657,0.7976008780520253,0.5856133225354011,0.002858766005374491,0.0015308480942621827,0.00027980899903923273,,
DS-B,PLS,5,GaussianNB,2,0.8475788897963407,0.6988982929838459,0.06252794725775046,0.11092546171681983,0.7850509425385902,0.587972831267026,0.002858766005374491,0.000694993999786675,0.0011005679843947291,,
DS-B,PLS,5,QDA,2,0.8949478748997595,0.7974074079031471,-0.026452425914360367,-0.03349594616912566,0.9214003008141198,0.8309033540722728,0.002858766005374491,0.0006159009644761682,0.00498798699118197,,
DS-B,PLS,5,ShrinkageLDA,2,0.8481775616317873,0.7183676468691906,-0.003396169239354263,-0.008318548196389997,0.8515737308711415,0.7266861950655806,0.002858766005374491,0.001781773054972291,0.005233507952652872,,
DS-B,PLS,5,LogRegL2,2,0.8502063939630227,0.7118346695339904,0.00023281682489573186,-0.024981966813835355,0.8499735771381269,0.7368166363478258,0.002858766005374491,0.03113141597714275,0.1340554450871423,,
DS-B,PLS,5,KDEBayes,2,0.9464706077997332,0.874947639895112,0.21310130488287105,0.4130698763157699,0.7333693029168622,0.4618777635793421,0.002858766005374491,0.0015072860987856984,0.004963595070876181,,
