dataset,method,q,model,F12_mean,F12_std,G12_mean,G12_std,S_test_mean,S_test_std,coverage_mean,coverage_std
DS-B,Ensembleunar,5,UnaryMLP,0.395145385163417,0.055621698874003415,0.19574593006513083,0.08128182962765419,0.34620890264713433,0.05868965555818985,0.4948333382606506,0.0314101490581155
DS-B,Ensembleunar,10,UnaryMLP,0.44549573714724244,0.044695945627040566,0.2721593015822726,0.0310729164527475,0.3774559117516743,0.05033470820900535,0.5221666812896728,0.04594910164963603
DS-B,Ensembleunar,15,UnaryMLP,0.3914673986469469,0.05085802209728748,0.2181143925815126,0.0048553361295356565,0.3369388005015687,0.049808060430153095,0.5020000159740448,0.04186867601094917
DS-B,HSIC_Lasso,5,UnaryMLP,0.4125969110315009,0.05066020856928654,0.19653811261150742,0.029118159882456175,0.3634623828786241,0.05052375650578504,0.47800000905990603,0.03000346848848603
DS-B,HSIC_Lasso,10,UnaryMLP,0.2791184136899725,0.028807590696097746,0.16990261544879987,0.030717102129750987,0.2366427598277725,0.022882689413143864,0.4641666829586029,0.03819268452125194
DS-B,HSIC_Lasso,15,UnaryMLP,0.27260649833635253,0.0395250640973355,0.18212255854446346,0.059358852609075405,0.22707585870023667,0.03574841665324482,0.4145000040531158,0.04383761366847409
DS-B,PCA,5,UnaryMLP,0.18151129886390857,0.04508782596888383,0.11614449565123781,0.047605732887846704,0.15247517495109913,0.040003788170145174,0.3643333375453949,0.08689753122091605
DS-B,PCA,10,UnaryMLP,0.24234364186402488,0.04755203615411176,0.1232059468802162,0.029266072305708952,0.21154215514397082,0.048503297037669015,0.4250000178813934,0.06220485625830587
DS-B,PCA,15,UnaryMLP,0.11624934399189982,0.023888724101404774,0.1507357315227904,0.03579420837644049,0.0785654111112022,0.024014802377691206,0.20100000500679016,0.0189058348874605
DS-B,PLS,5,UnaryMLP,0.37418714429425864,0.030149047341565816,0.31015916389935827,0.04448524955135188,0.29664735331941905,0.038655740261420525,0.4533333420753479,0.04222541698525886
DS-B,PLS,10,UnaryMLP,0.2764340766415435,0.057258858921393534,0.21634141725346817,0.0642095835518623,0.2223487223281765,0.06337451087180139,0.4548333466053009,0.06723559543466232
DS-B,PLS,15,UnaryMLP,0.3051098963773655,0.04253235879765352,0.21157650785039084,0.06136546832748976,0.25221576941476787,0.051433256396613246,0.4095000088214874,0.07466500176283006
