fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"13,65,248,376,492,963,1284,1422,1581,1634,1770,1771,1842,1883",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.7142857142857143,0.2857142857142857,0.6666666666666666,14.0,"46,244,248,266,376,492,512,738,896,963,1041,1581,1634,1667",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"244,248,266,364,376,410,492,512,1041,1422,1581,1634,1771,1883",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_03_eta.csv
4,56.0,6.0,1.0,0.0,1.0,14.0,"244,248,266,364,492,512,764,811,963,1548,1572,1634,1771,1886",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,14.0,"46,248,266,364,376,492,512,738,811,1207,1324,1422,1634,1770",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.5,0.5,0.0,14.0,"244,248,266,364,376,492,624,738,896,1422,1581,1634,1770,1771",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_06_eta.csv
7,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"248,266,364,376,410,492,512,697,896,1581,1634,1770,1771,1883",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,65,136,248,266,376,492,811,1410,1548,1634,1770,1771,1883",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"65,136,248,266,364,492,512,1041,1545,1581,1634,1647,1771,1842",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_09_eta.csv
10,56.0,6.0,1.0,0.0,1.0,14.0,"48,248,376,492,512,626,764,896,1422,1581,1634,1771,1872,1917",results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_cv5_fold/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.8214285714285715,0.17857142857142855,0.7266666666666667,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.16158153231351058,0.16158153231351058,0.29388836378865085,0.0,,,,
