fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"244,248,266,364,492,736,764,1057,1301,1324,1345,1422,1569,1771",1.0,0.0,1.0
2,55.0,7.0,14.0,"244,248,266,285,370,376,492,616,791,1057,1500,1634,1771,1942",1.0,0.0,1.0
3,56.0,6.0,14.0,"244,248,266,492,580,764,1230,1492,1549,1634,1658,1771,1883,1885",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"244,248,266,404,418,492,575,764,996,1093,1572,1658,1771,1883",1.0,0.0,1.0
5,56.0,6.0,14.0,"266,492,494,738,1041,1230,1324,1345,1387,1548,1667,1770,1771,1883",0.6666666666666666,0.33333333333333337,0.6666666666666666
6,56.0,6.0,14.0,"13,244,248,266,285,364,376,492,764,791,896,1230,1324,1771",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"266,376,426,452,492,624,764,787,996,1057,1059,1230,1285,1771",1.0,0.0,1.0
8,56.0,6.0,14.0,"244,248,364,376,404,447,492,558,764,779,1472,1667,1883,1896",0.8333333333333334,0.16666666666666663,0.6666666666666666
9,56.0,6.0,14.0,"46,244,266,285,376,492,575,1259,1285,1324,1548,1581,1634,1771",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"244,248,266,285,364,376,492,509,575,577,764,775,1146,1285",1.0,0.0,1.0
mean,55.8,6.2,14.0,,0.8833333333333332,0.11666666666666665,0.8433333333333334
std,0.4216370213557839,0.4216370213557839,0.0,,0.13721210039142745,0.13721210039142745,0.18462507888444196
