fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"244,248,266,364,492,736,764,1057,1301,1324,1345,1422,1569,1771",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"244,248,266,285,370,376,492,616,791,1057,1500,1634,1771,1942",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"244,248,266,492,580,764,1230,1492,1549,1634,1658,1771,1883,1885",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_03_eta.csv
4,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"244,248,266,404,418,492,575,764,996,1093,1572,1658,1771,1883",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,14.0,"266,492,494,738,1041,1230,1324,1345,1387,1548,1667,1770,1771,1883",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"13,244,248,266,285,364,376,492,764,791,896,1230,1324,1771",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_06_eta.csv
7,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"266,376,426,452,492,624,764,787,996,1057,1059,1230,1285,1771",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"244,248,364,376,404,447,492,558,764,779,1472,1667,1883,1896",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"46,244,266,285,376,492,575,1259,1285,1324,1548,1581,1634,1771",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_09_eta.csv
10,56.0,6.0,0.5,0.5,0.0,14.0,"244,248,266,285,364,376,492,509,575,577,764,775,1146,1285",results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_4_100_2_64_5000_0.25_not_independent_splits/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.7714285714285715,0.22857142857142856,0.65,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.11994371737976231,0.11994371737976231,0.24907235301622105,0.0,,,,
