fold,train_size,test_size,n_selected,selected_indices,fit_size_inner,par_size_inner,ckpt_size_inner,best_epoch,beta_pos,beta_neg,cG,S_par,F12_par,G12_par,S_ckpt,F12_ckpt,G12_ckpt,S_test,F12_test,G12_test,a1_test,a2_test,b1_test,b2_test,decided_count,conflict_count,reject_count,wrong_exclusive_count,correct_exclusive_count,coverage,conflict_rate,reject_rate,wrong_exclusive_rate,correct_exclusive_rate,selective_accuracy,selective_error,selective_f1,conservative_accuracy,conservative_error
1,55.0,7.0,14.0,"244,248,266,364,492,736,764,1057,1301,1324,1345,1422,1569,1771",33.0,11.0,11.0,140.0,0.3405410945415497,0.09758003801107407,0.25,0.6858688187997198,0.7312079555425562,0.18135654697134565,0.9225801491504574,0.9225801491504574,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,4.0,1.0,2.0,1.0,3.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.75,0.25,0.0,0.42857142857142855,0.5714285714285714
2,55.0,7.0,14.0,"244,248,266,285,370,376,492,616,791,1057,1500,1634,1771,1942",33.0,11.0,11.0,225.0,0.34740424156188965,0.6665735244750977,0.25,0.5877512636652169,0.5877512636652169,0.0,0.7312079555425562,0.7312079555425562,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.14285714285714285,1.0,0.0,0.0,0.14285714285714285,0.8571428571428572
3,56.0,6.0,14.0,"244,248,266,492,580,764,1230,1492,1549,1634,1658,1771,1883,1885",33.0,11.0,12.0,25.0,0.6429665088653564,0.5904324054718018,0.25,0.7312079555425562,0.7312079555425562,0.0,0.5995203836930456,0.5995203836930456,0.0,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.0,0.25,4.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.75,0.25,0.6666666666666666,0.5,0.5
4,56.0,6.0,14.0,"244,248,266,404,418,492,575,764,996,1093,1572,1658,1771,1883",33.0,11.0,12.0,20.0,0.23949642479419708,0.5462582111358643,0.25,0.7312079555425562,0.7312079555425562,0.0,0.5995203836930456,0.5995203836930456,0.0,0.20801435581728525,0.33288948069241014,0.4995004995004996,0.5,0.25,0.5,0.5,2.0,3.0,1.0,0.0,2.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
5,56.0,6.0,14.0,"266,492,494,738,1041,1230,1324,1345,1387,1548,1667,1770,1771,1883",33.0,11.0,12.0,80.0,0.20696492493152618,0.21741750836372375,0.25,0.7995025317580172,0.7995025317580172,0.0,0.6359011627906977,0.6359011627906977,0.0,0.39968025579536376,0.39968025579536376,0.0,1.0,0.25,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.5
6,56.0,6.0,14.0,"13,244,248,266,285,364,376,492,764,791,896,1230,1324,1771",33.0,11.0,12.0,160.0,0.10221854597330093,0.33358854055404663,0.25,0.7995025317580172,0.7995025317580172,0.0,0.9328358208955224,0.9328358208955224,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,5.0,1.0,0.0,2.0,3.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.5,0.6,0.4,0.0,0.5,0.5
7,56.0,6.0,14.0,"266,376,426,452,492,624,764,787,996,1057,1059,1230,1285,1771",33.0,11.0,12.0,25.0,0.3041059374809265,0.3189023435115814,0.25,0.7995025317580172,0.7995025317580172,0.0,0.9328358208955224,0.9328358208955224,0.0,0.5995203836930456,0.5995203836930456,0.0,0.5,0.75,0.5,0.0,4.0,1.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337
8,56.0,6.0,14.0,"244,248,364,376,404,447,492,558,764,779,1472,1667,1883,1896",33.0,11.0,12.0,40.0,0.16274884343147278,0.13561005890369415,0.25,0.9225801491504574,0.9225801491504574,0.0,0.7495003331112592,0.7495003331112592,0.0,0.3746253746253747,0.4995004995004996,0.4995004995004996,0.5,0.5,0.5,0.5,3.0,3.0,0.0,0.0,3.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5
9,56.0,6.0,14.0,"46,244,266,285,376,492,575,1259,1285,1324,1548,1581,1634,1771",33.0,11.0,12.0,30.0,0.1852244734764099,0.35303938388824463,0.25,0.544992127891486,0.544992127891486,0.0,0.8566533409480298,0.8566533409480298,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,3.0,2.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.0,0.3333333333333333,0.6666666666666667
10,56.0,6.0,14.0,"244,248,266,285,364,376,492,509,575,577,764,775,1146,1285",33.0,11.0,12.0,190.0,0.18966136872768402,0.26657193899154663,0.25,0.8328475056217207,0.8328475056217207,0.0,0.5995203836930456,0.5995203836930456,0.0,0.4995004995004996,0.4995004995004996,0.0,0.5,0.5,0.0,0.25,3.0,1.0,2.0,0.0,3.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.5,1.0,0.0,1.0,0.5,0.5
