fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"13,266,376,492,512,779,896,993,1032,1041,1369,1634,1771,1883",0.8571428571428571,0.1428571428571429,0.8
2,55.0,7.0,14.0,"30,46,142,558,608,733,738,805,1001,1041,1324,1581,1633,1771",0.5714285714285714,0.4285714285714286,0.0
3,56.0,6.0,14.0,"13,186,244,248,266,364,376,492,560,570,697,764,779,1872",1.0,0.0,1.0
4,56.0,6.0,14.0,"46,410,512,575,714,963,1109,1230,1465,1581,1634,1771,1835,1959",0.6666666666666666,0.33333333333333337,0.0
5,56.0,6.0,14.0,"46,168,398,410,488,624,1057,1066,1345,1633,1678,1892,1937,1941",0.5,0.5,0.0
6,56.0,6.0,14.0,"39,66,198,248,285,376,492,697,896,917,1324,1422,1581,1771",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"285,376,452,512,626,664,779,1059,1572,1667,1770,1771,1883,1981",0.5,0.5,0.0
8,56.0,6.0,14.0,"13,285,376,580,801,811,1255,1257,1410,1422,1569,1729,1883,1916",0.6666666666666666,0.33333333333333337,0.0
9,56.0,6.0,14.0,"136,248,266,364,376,418,492,624,764,1059,1259,1572,1634,1872",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"189,285,492,764,1057,1109,1226,1352,1545,1770,1872,1911,1934,1959",0.6666666666666666,0.33333333333333337,0.0
mean,55.8,6.2,14.0,,0.6928571428571428,0.30714285714285716,0.30999999999999994
std,0.4216370213557839,0.4216370213557839,0.0,,0.1608783211472806,0.1608783211472806,0.41753243386991307
