fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"137,240,244,266,376,492,512,779,896,1581,1634,1771,1883,1969",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"30,95,142,164,240,248,558,647,731,1422,1581,1633,1771,1872",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,140,244,266,364,492,570,764,779,1422,1581,1634,1872,1916",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_03_eta.csv
4,56.0,6.0,1.0,0.0,1.0,14.0,"46,142,285,410,963,979,1001,1295,1510,1513,1634,1771,1835,1883",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.5,0.5,0.5714285714285714,14.0,"46,390,398,488,514,624,811,993,1057,1325,1345,1548,1633,1678",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"66,244,248,266,285,376,492,738,811,917,1422,1666,1770,1883",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_06_eta.csv
7,56.0,6.0,1.0,0.0,1.0,14.0,"285,364,418,512,626,779,1226,1333,1365,1578,1678,1770,1771,1883",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,65,285,376,494,560,580,801,1422,1634,1883,1896,1916,1997",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,14.0,"136,244,248,266,285,376,492,720,779,896,1041,1634,1842,1866",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_09_eta.csv
10,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"117,186,285,492,764,1057,1146,1226,1510,1667,1770,1771,1934,1959",results_colon_cv_seed42_4_100_2_64_10000_0.5/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.5/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.8190476190476191,0.18095238095238092,0.7671428571428572,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.16617463274034794,0.16617463274034797,0.18402364368778817,0.0,,,,
