fold,train_size,test_size,n_selected,selected_indices,accuracy,classification_error,f1_score
1,55.0,7.0,14.0,"13,244,266,376,492,512,779,896,1003,1041,1581,1634,1771,1807",1.0,0.0,1.0
2,55.0,7.0,14.0,"46,240,492,896,1041,1066,1230,1324,1581,1633,1634,1678,1771,1872",0.5714285714285714,0.4285714285714286,0.4
3,56.0,6.0,14.0,"13,244,248,266,364,492,570,764,1230,1345,1422,1581,1634,1872",0.8333333333333334,0.16666666666666663,0.8
4,56.0,6.0,14.0,"13,46,410,512,575,963,1001,1209,1405,1465,1596,1771,1835,1959",0.8333333333333334,0.16666666666666663,0.6666666666666666
5,56.0,6.0,14.0,"46,390,398,410,488,899,1066,1548,1633,1678,1771,1892,1937,1982",0.8333333333333334,0.16666666666666663,0.6666666666666666
6,56.0,6.0,14.0,"41,66,198,244,248,285,376,492,738,1324,1410,1422,1770,1883",0.6666666666666666,0.33333333333333337,0.5
7,56.0,6.0,14.0,"285,364,418,512,563,626,779,1059,1226,1259,1667,1770,1771,1883",1.0,0.0,1.0
8,56.0,6.0,14.0,"13,65,285,376,492,580,801,1005,1410,1634,1729,1883,1891,1916",0.6666666666666666,0.33333333333333337,0.0
9,56.0,6.0,14.0,"136,244,248,266,376,492,624,1041,1109,1209,1634,1842,1872,1883",0.8333333333333334,0.16666666666666663,0.8
10,56.0,6.0,14.0,"186,285,492,764,1057,1209,1285,1352,1513,1545,1770,1771,1934,1959",0.8333333333333334,0.16666666666666663,0.6666666666666666
mean,55.8,6.2,14.0,,0.8071428571428572,0.19285714285714284,0.65
std,0.4216370213557839,0.4216370213557839,0.0,,0.13858242833485304,0.13858242833485304,0.29783167008178246
