fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"13,244,266,376,492,512,779,896,1003,1041,1581,1634,1771,1807",results_colon_cv_seed42_ultra/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"46,240,492,896,1041,1066,1230,1324,1581,1633,1634,1678,1771,1872",results_colon_cv_seed42_ultra/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,244,248,266,364,492,570,764,1230,1345,1422,1581,1634,1872",results_colon_cv_seed42_ultra/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_03_eta.csv
4,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"13,46,410,512,575,963,1001,1209,1405,1465,1596,1771,1835,1959",results_colon_cv_seed42_ultra/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,14.0,"46,390,398,410,488,899,1066,1548,1633,1678,1771,1892,1937,1982",results_colon_cv_seed42_ultra/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"41,66,198,244,248,285,376,492,738,1324,1410,1422,1770,1883",results_colon_cv_seed42_ultra/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_06_eta.csv
7,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"285,364,418,512,563,626,779,1059,1226,1259,1667,1770,1771,1883",results_colon_cv_seed42_ultra/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"13,65,285,376,492,580,801,1005,1410,1634,1729,1883,1891,1916",results_colon_cv_seed42_ultra/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,244,248,266,376,492,624,1041,1109,1209,1634,1842,1872,1883",results_colon_cv_seed42_ultra/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_09_eta.csv
10,56.0,6.0,1.0,0.0,1.0,14.0,"186,285,492,764,1057,1209,1285,1352,1513,1545,1770,1771,1934,1959",results_colon_cv_seed42_ultra/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_ultra/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_ultra/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.819047619047619,0.18095238095238092,0.7533333333333333,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.12356508226049882,0.12356508226049884,0.17441259440309853,0.0,,,,
